Name;Sex;Age;Height;Weight;Team;Sport;Event;Medal
"Matthew D. ""Matt"" Emmons";M;31;175;185,1883001;United States;Shooting;Shooting Men's Small-Bore Rifle, Three Positions, 50 metres;Bronze
Ren Enders;M;25;165;169,7559417;Germany;Cycling;Cycling Men's Team Sprint;Bronze
Jessica Phyllis Ennis-Hill;F;26;165;125,6634893;Great Britain;Athletics;Athletics Women's Heptathlon;Gold
Jorge Enrquez Garca;M;21;189;163,1420739;Mexico;Football;Football Men's Football;Gold
Fie Udby Erichsen;F;27;184;174,165187;Denmark;Rowing;Rowing Women's Single Sculls;Silver
Arianna Errigo;F;24;180;149,9143382;Italy;Fencing;Fencing Women's Foil, Individual;Silver
Arianna Errigo;F;24;180;149,9143382;Italy;Fencing;Fencing Women's Foil, Team;Gold
"Srgio ""Escadinha"" Dutra dos Santos";M;36;184;171,9605644;Brazil;Volleyball;Volleyball Men's Volleyball;Silver
Anna Espar Llaquet;F;19;180;145,5050929;Spain;Water Polo;Water Polo Women's Water Polo;Silver
Marlen Esparza Puentes;F;22;160;112,4357536;United States;Boxing;Boxing Women's Flyweight;Bronze
Jaime Yusept Espinal Fajardo;M;27;178;189,5975453;Puerto Rico;Wrestling;Wrestling Men's Light-Heavyweight, Freestyle;Silver
Paola Milagros Espinosa Snchez;F;25;156;105,8218858;Mexico;Diving;Diving Women's Synchronized Platform;Silver
Mara del Rosario Espinoza Espinoza;F;24;173;154,3235834;Mexico;Taekwondo;Taekwondo Women's Heavyweight;Bronze
Tony Estanguet;M;34;185;165,3466965;France;Canoeing;Canoeing Men's Canadian Singles, Slalom;Gold
Laura Ester Ramos;F;22;170;127,868112;Spain;Water Polo;Water Polo Women's Water Polo;Silver
Ophlie-Cyrielle Etienne;F;21;175;125,6634893;France;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
Johan Magnus Eurn;M;27;192;264,5547144;Sweden;Wrestling;Wrestling Men's Super-Heavyweight, Greco-Roman;Bronze
Blair Catherine Evans;F;21;175;143,3004703;Australia;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Silver
"Freddie William ""Fred"" Evans";M;21;180;171,9605644;Great Britain;Boxing;Boxing Men's Welterweight;Silver
Floris Maarten Alphons Maria Evers;M;29;189;182,9836775;Netherlands;Hockey;Hockey Men's Hockey;Silver
Massimo Fabbrizi;M;34;177;242,5084882;Italy;Shooting;Shooting Men's Trap;Silver
"Fabiana ""Fabi"" Alvim de Oliveira";F;32;169;130,0727346;Brazil;Volleyball;Volleyball Women's Volleyball;Gold
Marco Jhonfai Fabin de la Mora;M;23;172;152,1189608;Mexico;Football;Football Men's Football;Gold
Fabiana Marcelino Claudino;F;27;193;167,5513191;Brazil;Volleyball;Volleyball Women's Volleyball;Gold
Yamaguchi Falco Florentino;M;24;181;169,7559417;Brazil;Boxing;Boxing Men's Light-Heavyweight;Bronze
Fang Yuting;F;22;170;136,6866024;China;Archery;Archery Women's Team;Silver
"Mohamed Muktar Jama ""Mo"" Farah";M;29;175;127,868112;Great Britain;Athletics;Athletics Men's 5,000 metres;Gold
"Mohamed Muktar Jama ""Mo"" Farah";M;29;175;127,868112;Great Britain;Athletics;Athletics Men's 10,000 metres;Gold
Margaux Farrell;F;21;183;156,528206;France;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
Krisztina Fazekas Zur;F;31;172;141,0958477;Hungary;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Gold
Roger Federer;M;30;185;176,3698096;Switzerland;Tennis;Tennis Men's Singles;Silver
Alessandro Fei;M;33;204;198,4160358;Italy;Volleyball;Volleyball Men's Volleyball;Bronze
"James ""Jimmy"" Feigen";M;22;196;216,0530168;United States;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
Allyson Michelle Felix;F;26;168;123,4588667;United States;Athletics;Athletics Women's 200 metres;Gold
Allyson Michelle Felix;F;26;168;123,4588667;United States;Athletics;Athletics Women's 4 x 100 metres Relay;Gold
Allyson Michelle Felix;F;26;168;123,4588667;United States;Athletics;Athletics Women's 4 x 400 metres Relay;Gold
Maurizio Felugo;M;31;189;180,7790548;Italy;Water Polo;Water Polo Men's Water Polo;Silver
Feng Tian Wei;F;25;163;121,2542441;Singapore;Table Tennis;Table Tennis Women's Singles;Bronze
Feng Tian Wei;F;25;163;121,2542441;Singapore;Table Tennis;Table Tennis Women's Team;Bronze
Feng Zhe;M;24;160;127,868112;China;Gymnastics;Gymnastics Men's Team All-Around;Gold
Feng Zhe;M;24;160;127,868112;China;Gymnastics;Gymnastics Men's Parallel Bars;Gold
Emilie Fer;F;29;170;138,8912251;France;Canoeing;Canoeing Women's Kayak Singles, Slalom;Gold
Beatriz Fernndez Ibez;F;27;180;163,1420739;Spain;Handball;Handball Women's Handball;Bronze
Begoa Fernndez Molinos;F;32;180;156,528206;Spain;Handball;Handball Women's Handball;Bronze
Jrme Fernandez;M;35;199;233,6899977;France;Handball;Handball Men's Handball;Gold
"Rodolfo ""Rudy"" Fernndez Farrs";M;27;196;185,1883001;Spain;Basketball;Basketball Men's Basketball;Silver
"Fernanda ""Fernandinha"" Ferreira";F;32;172;145,5050929;Brazil;Volleyball;Volleyball Women's Volleyball;Gold
Sergey Vasilyevich Fesikov;M;23;187;158,7328286;Russia;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze
Pietro Figlioli;M;28;191;216,0530168;Italy;Water Polo;Water Polo Men's Water Polo;Silver
scar Albeyro Figueroa Mosquera;M;29;159;136,6866024;Colombia;Weightlifting;Weightlifting Men's Featherweight;Silver
Jonelle Filigno;F;21;169;127,868112;Canada;Football;Football Women's Football;Bronze
Roseline Filion;F;25;152;114,6403762;Canada;Diving;Diving Women's Synchronized Platform;Bronze
Filip Filipovi;M;25;196;222,6668846;Serbia;Water Polo;Water Polo Men's Water Polo;Bronze
Deni Fiorentini;M;28;191;189,5975453;Italy;Water Polo;Water Polo Men's Water Polo;Silver
Tatyana Pavlovna Firova;F;29;174;130,0727346;Russia;Athletics;Athletics Women's 4 x 400 metres Relay;Silver
David Florence;M;29;188;167,5513191;Great Britain-2;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Silver
Esquiva Falco Florentino;M;22;171;165,3466965;Brazil;Boxing;Boxing Men's Middleweight;Silver
James Christian Foad;M;25;185;198,4160358;Great Britain;Rowing;Rowing Men's Coxed Eights;Bronze
Marco Aurelio Fontana;M;27;172;149,9143382;Italy;Cycling;Cycling Men's Mountainbike, Cross-Country;Bronze
Rosalba Forciniti;F;26;159;114,6403762;Italy;Judo;Judo Women's Half-Lightweight;Bronze
Russell Ford;M;28;181;169,7559417;Australia;Hockey;Hockey Men's Hockey;Bronze
Robert Frstemann;M;26;174;198,4160358;Germany;Cycling;Cycling Men's Team Sprint;Bronze
Karsten Forsterling;M;32;191;194,0067906;Australia;Rowing;Rowing Men's Quadruple Sculls;Bronze
Sylvia Shaqueria Fowles;F;26;198;198,4160358;United States;Basketball;Basketball Women's Basketball;Gold
"Jessica Esther ""Jess"" Fox";F;18;166;132,2773572;Australia;Canoeing;Canoeing Women's Kayak Singles, Slalom;Silver
William Speed Lane Fox-Pitt;M;43;196;176,3698096;Great Britain;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Silver
Marit Malm Frafjord;F;26;182;171,9605644;Norway;Handball;Handball Women's Handball;Gold
"Zsuzsanna ""Susan"" Francia";F;29;188;176,3698096;United States;Rowing;Rowing Women's Coxed Eights;Gold
Michele Frangilli;M;36;181;242,5084882;Italy;Archery;Archery Men's Team;Gold
"Melissa Jeanette ""Missy"" Franklin";F;17;188;169,7559417;United States;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze
"Melissa Jeanette ""Missy"" Franklin";F;17;188;169,7559417;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Gold
"Melissa Jeanette ""Missy"" Franklin";F;17;188;169,7559417;United States;Swimming;Swimming Women's 100 metres Backstroke;Gold
"Melissa Jeanette ""Missy"" Franklin";F;17;188;169,7559417;United States;Swimming;Swimming Women's 200 metres Backstroke;Gold
"Melissa Jeanette ""Missy"" Franklin";F;17;188;169,7559417;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Shelly-Ann Fraser-Pryce;F;25;160;125,6634893;Jamaica;Athletics;Athletics Women's 100 metres;Gold
Shelly-Ann Fraser-Pryce;F;25;160;125,6634893;Jamaica;Athletics;Athletics Women's 200 metres;Silver
Shelly-Ann Fraser-Pryce;F;25;160;125,6634893;Jamaica;Athletics;Athletics Women's 4 x 100 metres Relay;Silver
Michael Audley Frater;M;29;170;147,7097155;Jamaica;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
Vitaly Valeryevich Fridzon;M;26;196;180,7790548;Russia;Basketball;Basketball Men's Basketball;Bronze
Helena Fromm;F;24;175;147,7097155;Germany;Taekwondo;Taekwondo Women's Welterweight;Bronze
"Christopher Clive ""Chris"" Froome";M;27;185;152,1189608;Great Britain;Cycling;Cycling Men's Individual Time Trial;Bronze
Fu Haifeng;M;28;181;171,9605644;China-1;Badminton;Badminton Men's Doubles;Gold
Florian Fuchs;M;20;185;163,1420739;Germany;Hockey;Hockey Men's Hockey;Gold
Andrea Fuentes Fache;F;29;169;127,868112;Spain;Synchronized Swimming;Synchronized Swimming Women's Duet;Silver
Andrea Fuentes Fache;F;29;169;127,868112;Spain;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Mizuki Fujii;F;23;160;132,2773572;Japan-1;Badminton;Badminton Women's Doubles;Silver
Takuro Fujii;M;27;184;180,7790548;Japan;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Silver
Ai Fukuhara;F;23;156;105,8218858;Japan;Table Tennis;Table Tennis Women's Team;Silver
Miho Fukumoto;F;28;165;145,5050929;Japan;Football;Football Women's Football;Silver
Magdalena Fularczyk-Kozowska;F;25;173;154,3235834;Poland;Rowing;Rowing Women's Double Sculls;Bronze
Moritz Frste;M;27;190;196,2114132;Germany;Hockey;Hockey Men's Hockey;Gold
Takaharu Furukawa;M;27;174;196,2114132;Japan;Archery;Archery Men's Individual;Silver
Karam Mohamed Gaber Ibrahim;M;32;182;185,1883001;Egypt;Wrestling;Wrestling Men's Light-Heavyweight, Greco-Roman;Silver
Gabriel Vasconcellos Ferreira;M;19;193;;Brazil;Football;Football Men's Football;Silver
Daniyal Magomedovich Gadzhiyev;M;26;176;185,1883001;Kazakhstan;Wrestling;Wrestling Men's Light-Heavyweight, Greco-Roman;Bronze
Kamilla Yusufovna Gafurzyanova (-Vaksman);F;24;174;141,0958477;Russia;Fencing;Fencing Women's Foil, Team;Silver
"Edwin Johannes ""Edward"" Gal";M;42;182;158,7328286;Netherlands;Equestrianism;Equestrianism Mixed Dressage, Team;Bronze
Marco Galiazzo;M;29;178;216,0530168;Italy;Archery;Archery Men's Team;Gold
Valentino Gallo;M;27;192;209,4391489;Italy;Water Polo;Water Polo Men's Water Polo;Silver
Arsen Zhorayevich Galstyan;M;23;170;132,2773572;Russia;Judo;Judo Men's Extra-Lightweight;Gold
"Paulo Henrique ""Ganso"" Chagas de Lima";M;22;184;171,9605644;Brazil;Football;Football Men's Football;Silver
Fernanda Garay Rodrigues;F;26;181;165,3466965;Brazil;Volleyball;Volleyball Women's Volleyball;Gold
Ivn Alejandro Garca Navarro;M;18;165;121,2542441;Mexico;Diving;Diving Men's Synchronized Platform;Silver
"Mara del Carmen ""Maica"" Garca Godoy";F;21;188;198,4160358;Spain;Water Polo;Water Polo Women's Water Polo;Silver
Nicols Garca Hemme;M;24;188;176,3698096;Spain;Taekwondo;Taekwondo Men's Welterweight;Silver
Marc Gasol Sez;M;27;213;268,9639596;Spain;Basketball;Basketball Men's Basketball;Silver
Pau Gasol Sez;M;32;215;253,5316013;Spain;Basketball;Basketball Men's Basketball;Silver
Richard Gasquet;M;26;185;165,3466965;France-2;Tennis;Tennis Men's Doubles;Bronze
Aaron Gate;M;21;181;156,528206;New Zealand;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Bronze
Justin Alexander Gatlin;M;30;186;176,3698096;United States;Athletics;Athletics Men's 100 metres;Bronze
Scott Hunter Gault;M;29;196;207,2345263;United States;Rowing;Rowing Men's Coxless Fours;Bronze
Robyn Krista Gayle;F;26;170;138,8912251;Canada;Football;Football Women's Football;Bronze
Dejen Gebremeskel;M;22;180;127,868112;Ethiopia;Athletics;Athletics Men's 5,000 metres;Silver
Erba Tiki Gelana;F;24;165;105,8218858;Ethiopia;Athletics;Athletics Women's Marathon;Gold
Aleksandra Viktorovna Gerasimenya;F;26;175;132,2773572;Belarus;Swimming;Swimming Women's 50 metres Freestyle;Silver
Aleksandra Viktorovna Gerasimenya;F;26;175;132,2773572;Belarus;Swimming;Swimming Women's 100 metres Freestyle;Silver
Komeil Nemat Ghasemi;M;24;186;253,5316013;Iran;Wrestling;Wrestling Men's Super-Heavyweight, Freestyle;Bronze
Habiba Al-Ghribi-Boudra;F;28;174;112,4357536;Tunisia;Athletics;Athletics Women's 3,000 metres Steeplechase;Silver
Gi Seong-Yong;M;23;187;165,3466965;South Korea;Football;Football Men's Football;Bronze
Massimo Giacoppo;M;29;184;198,4160358;Italy;Water Polo;Water Polo Men's Water Polo;Silver
Khristina Giazitzidou;F;22;168;130,0727346;Greece;Rowing;Rowing Women's Lightweight Double Sculls;Bronze
"Gilberto Amauri ""Giba"" de Godoy Filho";M;35;192;187,3929227;Brazil;Volleyball;Volleyball Men's Volleyball;Silver
Gemma Jeanette Gibbons;F;25;173;154,3235834;Great Britain;Judo;Judo Women's Half-Heavyweight;Silver
"Robert Michael ""Rob"" Gibson";M;26;195;222,6668846;Canada;Rowing;Rowing Men's Coxed Eights;Silver
Bertrand Fabien Gille;M;34;187;216,0530168;France;Handball;Handball Men's Handball;Gold
Guillaume Alain Gille;M;36;192;213,8483941;France;Handball;Handball Men's Handball;Gold
Fabien Pierre Aurlien Dominique Gilot;M;28;193;187,3929227;France;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
Drew Cameron Ginn;M;37;195;187,3929227;Australia;Rowing;Rowing Men's Coxless Fours;Silver
Alex Giorgetti;M;24;187;171,9605644;Italy;Water Polo;Water Polo Men's Water Polo;Silver
Andrea Giovi;M;28;183;176,3698096;Italy;Volleyball;Volleyball Men's Volleyball;Bronze
Christine Girard;F;27;160;138,8912251;Canada;Weightlifting;Weightlifting Women's Middleweight;Bronze
Niccol Gitto;M;25;190;198,4160358;Italy;Water Polo;Water Polo Men's Water Polo;Silver
Jasmin Glaesser;F;20;167;127,868112;Canada;Cycling;Cycling Women's Team Pursuit;Bronze
Helen Rachel M. Glover;F;26;177;147,7097155;Great Britain;Rowing;Rowing Women's Coxless Pairs;Gold
Priscilla Gneto;F;20;164;114,6403762;France;Judo;Judo Women's Half-Lightweight;Bronze
Cline Sandrine Francine Goberville;F;25;156;116,8449989;France;Shooting;Shooting Women's Air Pistol, 10 metres;Silver
ivko Goci;M;29;193;205,0299037;Serbia;Water Polo;Water Polo Men's Water Polo;Bronze
Maartje Goderie;F;28;158;110,231131;Netherlands;Hockey;Hockey Women's Hockey;Gold
Elodie Godin;F;27;191;176,3698096;France;Basketball;Basketball Women's Basketball;Silver
Giorgi Gogshelidze;M;32;185;211,6437715;Georgia;Wrestling;Wrestling Men's Heavyweight, Freestyle;Bronze
"Matthew ""Matt"" Gohdes";M;22;180;176,3698096;Australia;Hockey;Hockey Men's Hockey;Bronze
Jakov Gojun;M;26;203;246,9177334;Croatia;Handball;Handball Men's Handball;Bronze
Anders Christian Golding;M;28;186;209,4391489;Denmark;Shooting;Shooting Men's Skeet;Silver
Francisco Javier Gmez Noya;M;29;178;152,1189608;Spain;Triathlon;Triathlon Men's Olympic Distance;Silver
milie Gomis;F;28;178;141,0958477;France;Basketball;Basketball Women's Basketball;Silver
Marina Sergeyevna Goncharova;F;22;167;;Belarus;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Silver
Gong Jinjie;F;25;165;143,3004703;China;Cycling;Cycling Women's Team Sprint;Silver
Gong Lijiao;F;23;175;231,4853751;China;Athletics;Athletics Women's Shot Put;Bronze
Asley Gonzlez Montero;M;22;179;198,4160358;Cuba;Judo;Judo Men's Middleweight;Silver
Joel Gonzlez Bonilla;M;22;185;149,9143382;Spain;Taekwondo;Taekwondo Men's Flyweight;Gold
Lalonde Keida Gordon;M;23;179;182,9836775;Trinidad and Tobago;Athletics;Athletics Men's 400 metres;Bronze
Lalonde Keida Gordon;M;23;179;182,9836775;Trinidad and Tobago;Athletics;Athletics Men's 4 x 400 metres Relay;Bronze
Sadegh Goudarzi;M;24;179;163,1420739;Iran;Wrestling;Wrestling Men's Middleweight, Freestyle;Silver
Westley Gough;M;24;185;171,9605644;New Zealand;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Bronze
Georgia Gould;F;32;175;134,4819798;United States;Cycling;Cycling Women's Mountainbike, Cross-Country;Bronze
Kieran Govers;M;24;179;167,5513191;Australia;Hockey;Hockey Men's Hockey;Bronze
"Robert Karl ""Robbie"" Grabarz";M;24;191;178,5744322;Great Britain;Athletics;Athletics Men's High Jump;Bronze
Anne-Caroline Graffe;F;26;176;158,7328286;France;Taekwondo;Taekwondo Women's Heavyweight;Silver
Katherine Jane Grainger;F;36;183;171,9605644;Great Britain;Rowing;Rowing Women's Double Sculls;Gold
Sergey Yuryevich Grankin;M;27;195;211,6437715;Russia;Volleyball;Volleyball Men's Volleyball;Gold
Andrey Vladimirovich Grechin;M;24;199;218,2576394;Russia;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze
"Alexander John ""Alex"" Gregory";M;28;198;213,8483941;Great Britain;Rowing;Rowing Men's Coxless Fours;Gold
"Matthew ""Matt"" Grevers";M;27;203;231,4853751;United States;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
"Matthew ""Matt"" Grevers";M;27;203;231,4853751;United States;Swimming;Swimming Men's 100 metres Backstroke;Gold
"Matthew ""Matt"" Grevers";M;27;203;231,4853751;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
Martina Grimaldi;F;23;172;143,3004703;Italy;Swimming;Swimming Women's 10 kilometres Open Water;Bronze
Kari Aalvik Grimsb;F;27;180;176,3698096;Norway;Handball;Handball Women's Handball;Gold
Anastasiya Nikolayevna Grishina;F;16;146;81,57103694;Russia;Gymnastics;Gymnastics Women's Team All-Around;Silver
Tim Grohmann;M;23;194;216,0530168;Germany;Rowing;Rowing Men's Quadruple Sculls;Gold
"Hindrik Harmannus Arnoldus ""Henk"" Grol";M;27;190;220,462262;Netherlands;Judo;Judo Men's Half-Heavyweight;Bronze
Mariya Igorevna Gromova;F;28;172;134,4819798;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
Sandrine Gruda;F;25;193;182,9836775;France;Basketball;Basketball Women's Basketball;Silver
Gu Bon-Gil;M;23;182;154,3235834;South Korea;Fencing;Fencing Men's Sabre, Team;Gold
Gu Ja-Cheol;M;23;182;182,9836775;South Korea;Football;Football Men's Football;Bronze
Steeve Franois Fabien Gunot;M;26;172;145,5050929;France;Wrestling;Wrestling Men's Welterweight, Greco-Roman;Bronze
Steve Guerdat;M;30;182;154,3235834;Switzerland;Equestrianism;Equestrianism Mixed Jumping, Individual;Gold
Michal Yves Robert Guigou;M;30;179;174,165187;France;Handball;Handball Men's Handball;Gold
Krista Guloien;F;32;177;160,9374513;Canada;Rowing;Rowing Women's Coxed Eights;Silver
Guo Shuang;F;26;170;154,3235834;China;Cycling;Cycling Women's Sprint;Bronze
Guo Shuang;F;26;170;154,3235834;China;Cycling;Cycling Women's Keirin;Silver
Guo Shuang;F;26;170;154,3235834;China;Cycling;Cycling Women's Team Sprint;Silver
Guo Weiyang;M;24;160;114,6403762;China;Gymnastics;Gymnastics Men's Team All-Around;Gold
Guo Wenjun;F;28;168;132,2773572;China;Shooting;Shooting Women's Air Pistol, 10 metres;Gold
Guo Yue;F;24;165;119,0496215;China;Table Tennis;Table Tennis Women's Team;Gold
Yuliya Aleksandrovna Gushchina;F;29;174;134,4819798;Russia;Athletics;Athletics Women's 4 x 400 metres Relay;Silver
Mattias Oskar Gustafsson;M;34;193;229,2807525;Sweden;Handball;Handball Men's Handball;Silver
Kate Gynther;F;30;175;160,9374513;Australia;Water Polo;Water Polo Women's Water Polo;Bronze
Dniel Gyurta;M;23;185;169,7559417;Hungary;Swimming;Swimming Men's 200 metres Breaststroke;Gold
Florencia Martina Habif;F;18;161;103,6172631;Argentina;Hockey;Hockey Women's Hockey;Silver
Ehsan Haddadi;M;27;192;264,5547144;Iran;Athletics;Athletics Men's Discus Throw;Silver
Kosuke Hagino;M;17;177;156,528206;Japan;Swimming;Swimming Men's 400 metres Individual Medley;Bronze
Juliette Anne Haigh;F;29;176;152,1189608;New Zealand;Rowing;Rowing Women's Coxless Pairs;Bronze
Fabian Hambchen;M;24;164;136,6866024;Germany;Gymnastics;Gymnastics Men's Horizontal Bar;Silver
Sarah Kathryn Hammer (-Sparks);F;28;171;143,3004703;United States;Cycling;Cycling Women's Team Pursuit;Silver
Sarah Kathryn Hammer (-Sparks);F;28;171;143,3004703;United States;Cycling;Cycling Women's Omnium;Silver
Han Sun-Cheol;M;27;178;132,2773572;South Korea;Boxing;Boxing Men's Lightweight;Silver
Vincent Hancock;M;23;173;176,3698096;United States;Shooting;Shooting Men's Skeet;Gold
Tayyiba Mumtaz Haneef-Park;F;33;200;180,7790548;United States;Volleyball;Volleyball Women's Volleyball;Silver
Martin Hner;M;23;184;182,9836775;Germany;Hockey;Hockey Men's Hockey;Gold
Brendan Joseph Hansen;M;30;183;187,3929227;United States;Swimming;Swimming Men's 100 metres Breaststroke;Bronze
Brendan Joseph Hansen;M;30;183;187,3929227;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
Lasse Norman Hansen;M;20;180;160,9374513;Denmark;Cycling;Cycling Men's Omnium;Gold
Janine Hanson;F;29;178;154,3235834;Canada;Rowing;Rowing Women's Coxed Eights;Silver
Hao Yun;M;17;185;176,3698096;China;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Bronze
Katrine Lunde Haraldsen;F;32;181;;Norway;Handball;Handball Women's Handball;Gold
"James Edward ""Trey"" Hardee, III";M;28;196;211,6437715;United States;Athletics;Athletics Men's Decathlon;Silver
James Edward Harden, Jr.;M;22;196;220,462262;United States;Basketball;Basketball Men's Basketball;Gold
Jessica Adele Hardy (-Meichtry);F;25;180;154,3235834;United States;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze
Jessica Adele Hardy (-Meichtry);F;25;180;154,3235834;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Christa Deanne Harmotto-Dietzen;F;25;188;174,165187;United States;Volleyball;Volleyball Women's Volleyball;Silver
Marlne Harnois;F;25;174;125,6634893;France;Taekwondo;Taekwondo Women's Featherweight;Bronze
Dawn Harper (-Everhart, -Nelson);F;28;168;134,4819798;United States;Athletics;Athletics Women's 100 metres Hurdles;Silver
Kayla Harrison;F;22;173;163,1420739;United States;Judo;Judo Women's Half-Heavyweight;Gold
Kristi Lee Harrower;F;37;162;138,8912251;Australia;Basketball;Basketball Women's Basketball;Bronze
Robert Harting;M;27;201;277,7824501;Germany;Athletics;Athletics Men's Discus Throw;Gold
Bridgitte Ellen Hartley;F;29;174;143,3004703;South Africa;Canoeing;Canoeing Women's Kayak Singles, 500 metres;Bronze
Gbor Hatos;M;28;170;167,5513191;Hungary;Wrestling;Wrestling Men's Middleweight, Freestyle;Bronze
Tobias Constantin Hauke;M;24;183;178,5744322;Germany;Hockey;Hockey Men's Hockey;Gold
Daniel Havel;M;20;178;174,165187;Czech Republic;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Bronze
Ren Hayakawa;F;24;179;143,3004703;Japan;Archery;Archery Women's Team;Bronze
Brent Matthew Hayden;M;28;193;189,5975453;Canada;Swimming;Swimming Men's 100 metres Freestyle;Bronze
He Chong;M;25;169;152,1189608;China;Diving;Diving Men's Springboard;Bronze
He Kexin;F;20;142;72,75254646;China;Gymnastics;Gymnastics Women's Uneven Bars;Silver
He Wenna;F;23;160;110,231131;China;Trampolining;Trampolining Women's Individual;Bronze
He Zi;F;21;159;112,4357536;China;Diving;Diving Women's Springboard;Silver
He Zi;F;21;159;112,4357536;China;Diving;Diving Women's Synchronized Springboard;Gold
Liam Nicholas Heath;M;27;182;178,5744322;Great Britain;Canoeing;Canoeing Men's Kayak Doubles, 200 metres;Bronze
Tobin Powell Heath;F;24;168;130,0727346;United States;Football;Football Women's Football;Gold
"Frederike Johanna Maria ""Femke"" Heemskerk";F;24;180;149,9143382;Netherlands;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Silver
Britta Heidemann;F;29;180;154,3235834;Germany;Fencing;Fencing Women's epee, Individual;Silver
Betty Heidler;F;28;175;187,3929227;Germany;Athletics;Athletics Women's Hammer Throw;Bronze
Zuzana Hejnov;F;25;173;138,8912251;Czech Republic;Athletics;Athletics Women's 400 metres Hurdles;Bronze
Thais Henrquez Torres;F;29;185;152,1189608;Spain;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Samantha Henry-Robinson;F;23;163;127,868112;Jamaica;Athletics;Athletics Women's 4 x 100 metres Relay;Silver
Michael David Hepburn;M;20;186;169,7559417;Australia;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Silver
Camilla Herrem;F;25;167;125,6634893;Norway;Handball;Handball Women's Handball;Gold
Hctor Miguel Herrera Lpez;M;22;180;158,7328286;Mexico;Football;Football Men's Football;Gold
Carl Rupert Hester;M;45;182;189,5975453;Great Britain;Equestrianism;Equestrianism Mixed Dressage, Team;Gold
Emilie-Joane Heymans;F;30;170;136,6866024;Canada;Diving;Diving Women's Synchronized Springboard;Bronze
Phelan Peter Hill;M;33;172;121,2542441;Great Britain;Rowing;Rowing Men's Coxed Eights;Bronze
Philip Hindes;M;19;178;180,7790548;Great Britain;Cycling;Cycling Men's Team Sprint;Gold
Igor Hini;M;36;202;242,5084882;Croatia;Water Polo;Water Polo Men's Water Polo;Gold
Sayaka Hirano;F;27;158;116,8449989;Japan;Table Tennis;Table Tennis Women's Team;Silver
Hiroaki Hiraoka;M;27;160;132,2773572;Japan;Judo;Judo Men's Extra-Lightweight;Silver
Andrea Hlavkov;F;25;175;132,2773572;Czech Republic-1;Tennis;Tennis Women's Doubles;Silver
Emin hmdov;M;25;170;163,1420739;Azerbaijan;Wrestling;Wrestling Men's Middleweight, Greco-Roman;Bronze
Pavol Hochschorner;M;32;176;165,3466965;Slovakia;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Bronze
Peter Hochschorner;M;32;188;180,7790548;Slovakia;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Bronze
Megan Hodge;F;23;185;174,165187;United States;Volleyball;Volleyball Women's Volleyball;Silver
Max Hoff;M;29;197;209,4391489;Germany;Canoeing;Canoeing Men's Kayak Singles, 1,000 metres;Bronze
Michael Reese Hoffa;M;34;182;324,0795251;United States;Athletics;Athletics Men's Shot Put;Bronze
Rogier Alexander Hofman;M;25;184;174,165187;Netherlands;Hockey;Hockey Men's Hockey;Silver
Martin Hollstein;M;25;192;198,4160358;Germany;Canoeing;Canoeing Men's Kayak Doubles, 1,000 metres;Bronze
Raphael Marcel Holzdeppe;M;22;183;171,9605644;Germany;Athletics;Athletics Men's Pole Vault;Bronze
Samuel Honrubia;M;26;180;165,3466965;France;Handball;Handball Men's Handball;Gold
Ellen Marijn Hoog;F;26;164;119,0496215;Netherlands;Hockey;Hockey Women's Hockey;Gold
Destinee Dante Hooker;F;24;193;160,9374513;United States;Volleyball;Volleyball Women's Volleyball;Silver
