Name;Sex;Age;Height;Weight;Team;Sport;Event;Medal
Valeriy Oleksandrovych Andriitsev;M;25;181;213,8483941;Ukraine;Wrestling;Wrestling Men's Heavyweight, Freestyle;Silver
Sajjad Anoushiravani Hamlabad;M;28;192;231,4853751;Iran;Weightlifting;Weightlifting Men's Super-Heavyweight;Silver
Carmelo Kyan Anthony;M;28;203;240,3038656;United States;Basketball;Basketball Men's Basketball;Gold
Semyon Sergeyevich Antonov;M;23;202;213,8483941;Russia;Basketball;Basketball Men's Basketball;Bronze
Nataliya Nikolayevna Antyukh;F;31;182;152,1189608;Russia;Athletics;Athletics Women's 400 metres Hurdles;Gold
Nataliya Nikolayevna Antyukh;F;31;182;152,1189608;Russia;Athletics;Athletics Women's 4 x 400 metres Relay;Silver
Nikolay Sergeyevich Apalikov;M;29;203;231,4853751;Russia;Volleyball;Volleyball Men's Volleyball;Gold
Javier Ignacio Aquino Carmona;M;22;165;136,6866024;Mexico;Football;Football Men's Football;Gold
Erika Araki;F;27;186;171,9605644;Japan;Volleyball;Volleyball Women's Volleyball;Bronze
Adriana dos Santos Arajo;F;30;167;132,2773572;Brazil;Boxing;Boxing Women's Lightweight;Bronze
"Elizabeth Mary ""Lizzie"" Armitstead (-Deignan)";F;23;168;121,2542441;Great Britain;Cycling;Cycling Women's Road Race, Individual;Silver
"Elizabeth ""Betsey"" Armstrong";F;29;188;169,7559417;United States;Water Polo;Water Polo Women's Water Polo;Gold
Kristin Ann Armstrong (-Savola);F;38;173;127,868112;United States;Cycling;Cycling Women's Individual Time Trial;Gold
Judith Arndt;F;36;173;130,0727346;Germany;Cycling;Cycling Women's Individual Time Trial;Silver
Laura Asadauskait-Zadneprovskien;F;28;160;108,0265084;Lithuania;Modern Pentathlon;Modern Pentathlon Women's Individual;Gold
Valerio Aspromonte;M;25;187;185,1883001;Italy;Fencing;Fencing Men's Foil, Team;Gold
Sofia Assefa Abebe;F;24;167;114,6403762;Ethiopia;Athletics;Athletics Women's 3,000 metres Steeplechase;Bronze
Abbos Atayev;M;26;186;165,3466965;Uzbekistan;Boxing;Boxing Men's Middleweight;Bronze
Sandra Auffarth;F;25;170;125,6634893;Germany;Equestrianism;Equestrianism Mixed Three-Day Event, Individual;Bronze
Sandra Auffarth;F;25;170;125,6634893;Germany;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Gold
