N4m3;S3x;4g3;H31ght;W31ght;T34m;Sp0rt;3v3nt;M3d4l
Joanne Kylie Fox;F;21;182;158,7328286;Australia;Water Polo;Water Polo Women's Water Polo;Gold
Igor Franceti;M;23;195;198,4160358;Croatia;Rowing;Rowing Men's Coxed Eights;Bronze
Mirka Francia Vasconcelos;F;25;182;171,9605644;Cuba;Volleyball;Volleyball Women's Volleyball;Gold
Lars Gunnar Martin Frndesj;M;29;196;207,2345263;Sweden;Handball;Handball Men's Handball;Silver
Michele Frangilli;M;24;181;242,5084882;Italy;Archery;Archery Men's Team;Silver
Ryan Ray Franklin;M;27;190;165,3466965;United States;Baseball;Baseball Men's Baseball;Gold
Tihomir Frankovi;M;29;192;211,6437715;Croatia;Rowing;Rowing Men's Coxed Eights;Bronze
Karl Gustav Mathias Franzn;M;25;189;180,7790548;Sweden;Handball;Handball Men's Handball;Silver
Merlene Frazer;F;26;174;136,6866024;Jamaica;Athletics;Athletics Women's 4 x 100 metres Relay;Silver
"Catherine Astrid Salome ""Cathy"" Freeman";F;27;164;123,4588667;Australia;Athletics;Athletics Women's 400 metres;Gold
Meike Freitag;F;21;186;156,528206;Germany;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
Lars Arne Frlander;M;26;184;182,9836775;Sweden;Swimming;Swimming Men's 100 metres Butterfly;Gold
Aleksey Mikhaylovich Frosin;M;22;186;196,2114132;Russia;Fencing;Fencing Men's Sabre, Team;Gold
Katrine Fruelund;F;22;174;158,7328286;Denmark;Handball;Handball Women's Handball;Gold
Fu Mingxia;F;22;160;105,8218858;China;Diving;Diving Women's Springboard;Gold
Fu Mingxia;F;22;160;105,8218858;China;Diving;Diving Women's Synchronized Springboard;Silver
Markus Fuchs;M;45;168;160,9374513;Switzerland;Equestrianism;Equestrianism Mixed Jumping, Team;Silver
Raika Fujii;F;26;165;119,0496215;Japan;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Yumiko Fujii;F;28;165;136,6866024;Japan;Softball;Softball Women's Softball;Silver
"Margarita ""Marga"" Fullana Riera";F;28;169;110,231131;Spain;Cycling;Cycling Women's Mountainbike, Cross-Country;Bronze
Guido Fulst;M;30;180;171,9605644;Germany;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Gold
"Philippa Rachel ""Pippa"" Funnell (Nolan-)";F;31;168;149,9143382;Great Britain;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Silver
"Christopher John ""Chris"" Fydler";M;27;197;200,6206584;Australia;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
Savatheda Fynes;F;25;165;141,0958477;Bahamas;Athletics;Athletics Women's 4 x 100 metres Relay;Gold
Roland Gbler;M;35;182;167,5513191;Germany;Sailing;Sailing Mixed Multihull;Bronze
Gabriel Francisco Garca de la Torre;M;21;178;154,3235834;Spain;Football;Football Men's Football;Silver
Thierry Gadou;M;31;205;231,4853751;France;Basketball;Basketball Men's Basketball;Silver
Fidelis Gadzama;M;20;178;169,7559417;Nigeria;Athletics;Athletics Men's 4 x 400 metres Relay;Gold
Liliana Gafencu;F;25;178;167,5513191;Romania;Rowing;Rowing Women's Coxed Eights;Gold
Chryste Dionne Gaines;F;29;170;125,6634893;United States;Athletics;Athletics Women's 4 x 100 metres Relay;Bronze
Rossano Galtarossa;M;28;200;224,8715072;Italy;Rowing;Rowing Men's Quadruple Sculls;Gold
Anabel Gambero Erdozain;F;28;165;127,868112;Argentina;Hockey;Hockey Women's Hockey;Silver
Yekaterina Aleksandrovna Gamova;F;19;202;176,3698096;Russia;Volleyball;Volleyball Women's Volleyball;Silver
Laurent Jacques Andr Gan;M;27;176;174,165187;France;Cycling;Cycling Men's Team Sprint;Gold
Gang Cho-Hyeon;F;17;157;99,2080179;South Korea;Shooting;Shooting Women's Air Rifle, 10 metres;Silver
Gang Geon-Uk;M;29;173;152,1189608;South Korea;Hockey;Hockey Men's Hockey;Silver
Gao E;F;37;168;123,4588667;China;Shooting;Shooting Women's Trap;Bronze
Gao Jing;F;24;170;123,4588667;China;Shooting;Shooting Women's Air Rifle, 10 metres;Bronze
Gao Ling;F;21;169;134,4819798;China-2;Badminton;Badminton Mixed Doubles;Gold
Gao Ling;F;21;169;134,4819798;China-1;Badminton;Badminton Women's Doubles;Bronze
Sergey Nikolayevich Garbuzov;M;26;192;202,825281;Russia;Water Polo;Water Polo Men's Water Polo;Silver
Catherine Garceau;F;22;172;136,6866024;Canada;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Anier Octavio Garca Ortz;M;24;189;174,165187;Cuba;Athletics;Athletics Men's 110 metres Hurdles;Gold
Ivn Garca Snchez;M;28;182;165,3466965;Cuba;Athletics;Athletics Men's 4 x 100 metres Relay;Bronze
"Agustina Soledad ""Sole"" Garca";F;19;163;141,0958477;Argentina;Hockey;Hockey Women's Hockey;Silver
Yoel Garca Luis;M;26;181;182,9836775;Cuba;Athletics;Athletics Men's Triple Jump;Silver
Andrea Gardini;M;34;202;220,462262;Italy;Volleyball;Volleyball Men's Volleyball;Bronze
Rulon E. Gardner;M;29;187;264,5547144;United States;Wrestling;Wrestling Men's Super-Heavyweight, Greco-Roman;Gold
Sarah E. Garner;F;29;173;130,0727346;United States;Rowing;Rowing Women's Lightweight Double Sculls;Bronze
Kevin Maurice Garnett;M;24;207;220,462262;United States;Basketball;Basketball Men's Basketball;Gold
Mateo Garralda Larumbe;M;30;196;224,8715072;Spain;Handball;Handball Men's Handball;Bronze
Jean-Philippe Gatien;M;31;178;160,9374513;France-1;Table Tennis;Table Tennis Men's Doubles;Bronze
Paul Charles Gaudoin;M;25;172;160,9374513;Australia;Hockey;Hockey Men's Hockey;Bronze
Gaydarbek Abdulayevich Gaydarbekov;M;23;183;165,3466965;Russia;Boxing;Boxing Men's Middleweight;Silver
Ge Fei;F;26;171;127,868112;China-2;Badminton;Badminton Women's Doubles;Gold
Haile Gebrselassie;M;27;165;123,4588667;Ethiopia;Athletics;Athletics Men's 10,000 metres;Gold
"Piet Hein Willem ""Piet-Hein"" Geeris";M;28;183;182,9836775;Netherlands;Hockey;Hockey Men's Hockey;Gold
Marco Geisler;M;26;201;222,6668846;Germany;Rowing;Rowing Men's Quadruple Sculls;Bronze
Deborah Gelisio;F;24;165;143,3004703;Italy;Shooting;Shooting Women's Double Trap;Silver
Pascal Guy Gentil;M;27;198;209,4391489;France;Taekwondo;Taekwondo Men's Heavyweight;Bronze
Hans Peter Ludvig Gentzel;M;31;199;220,462262;Sweden;Handball;Handball Men's Handball;Silver
Maria Georgatou;F;16;165;88,1849048;Greece;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
"Christopher Coleman ""Chris"" George";M;20;188;189,5975453;United States;Baseball;Baseball Men's Baseball;Gold
Elena Georgescu-Nedelcu;F;36;160;121,2542441;Romania;Rowing;Rowing Women's Coxed Eights;Gold
Aleksandr Georgiyevich Gerasimov;M;25;201;202,825281;Russia;Volleyball;Volleyball Men's Volleyball;Silver
Geremi Sorele Njitap Fotso;M;21;180;176,3698096;Cameroon;Football;Football Men's Football;Gold
Andrija Geri;M;23;203;222,6668846;Serbia and Montenegro;Volleyball;Volleyball Men's Volleyball;Gold
Andrea Giani;M;30;196;213,8483941;Italy;Volleyball;Volleyball Men's Volleyball;Bronze
Andrius Giedraitis;M;27;195;189,5975453;Lithuania;Basketball;Basketball Men's Basketball;Bronze
"Stephen Cory ""Steve"" Giles";M;28;183;180,7790548;Canada;Canoeing;Canoeing Men's Canadian Singles, 1,000 metres;Bronze
Nicolas Gill;M;28;185;231,4853751;Canada;Judo;Judo Men's Half-Heavyweight;Silver
Matthew Gilmore;M;28;178;147,7097155;Belgium;Cycling;Cycling Men's Madison;Silver
Rebecca Ellen Gilmore (-Manuel);F;21;165;132,2773572;Australia;Diving;Diving Women's Synchronized Platform;Bronze
Girolamo Giovinazzo;M;32;170;138,8912251;Italy;Judo;Judo Men's Half-Lightweight;Bronze
Arsen Idrisovich Gitinov;M;23;170;163,1420739;Russia;Wrestling;Wrestling Men's Welterweight, Freestyle;Silver
"Sarah ""Pease"" Glaser (Herndon-)";F;38;179;149,9143382;United States;Sailing;Sailing Women's Two Person Dinghy;Silver
Anna Leonidovna Glazkova;F;19;164;94,79877266;Belarus;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Silver
Aleksey Yuryevich Glushkov;M;25;171;152,1189608;Russia;Wrestling;Wrestling Men's Welterweight, Greco-Roman;Bronze
John Carl Godina;M;28;193;284,396318;United States;Athletics;Athletics Men's Shot Put;Bronze
"Yelena Mikhaylovna ""Lena"" Godina";F;22;196;158,7328286;Russia;Volleyball;Volleyball Women's Volleyball;Silver
Susann Goksr-Bjerkrheim;F;30;168;141,0958477;Norway;Handball;Handball Women's Handball;Bronze
Scott Daniel Goldblatt;M;21;187;169,7559417;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
Tatyana Vladimirovna Goldobina;F;24;177;167,5513191;Russia;Shooting;Shooting Women's Small-Bore Rifle, Three Positions, 50 metres;Silver
Yasser Richard Gmez Soto;M;20;175;169,7559417;Cuba;Baseball;Baseball Men's Baseball;Silver
Svetlana Valentinovna Goncharenko (Doronina-);F;29;173;138,8912251;Russia;Athletics;Athletics Women's 4 x 400 metres Relay;Bronze
Gong Zhichao;F;23;163;114,6403762;China;Badminton;Badminton Women's Singles;Gold
Driulys Gonzlez Morales;F;26;162;138,8912251;Cuba;Judo;Judo Women's Lightweight;Silver
Sebastin Ignacio Gonzlez Valds;M;21;173;147,7097155;Chile;Football;Football Men's Football;Bronze
Alastair Gordon;M;23;193;200,6206584;Australia;Rowing;Rowing Men's Coxed Eights;Silver
Shelley Ann Gorman-Sandie;F;31;181;160,9374513;Australia;Basketball;Basketball Women's Basketball;Silver
Vyacheslav Nikolayevich Gorpishin;M;30;200;220,462262;Russia;Handball;Handball Men's Handball;Gold
Dmitry Georgiyevich Gorshkov;M;33;180;207,2345263;Russia;Water Polo;Water Polo Men's Water Polo;Silver
Valery Leonidovich Goryushev;M;27;198;196,2114132;Russia;Volleyball;Volleyball Men's Volleyball;Silver
Jeanette Gtte;F;21;168;127,868112;Germany;Football;Football Women's Football;Bronze
Stefanie Gottschlich;F;22;175;134,4819798;Germany;Football;Football Women's Football;Bronze
Matthieu Roger Jean Gourdain;M;26;179;169,7559417;France;Fencing;Fencing Men's Sabre, Individual;Silver
Matthieu Roger Jean Gourdain;M;26;179;169,7559417;France;Fencing;Fencing Men's Sabre, Team;Silver
Tatyana Aleksandrovna Gracheva;F;27;180;163,1420739;Russia;Volleyball;Volleyball Women's Volleyball;Silver
Anna-Maria Gradante;F;23;154;105,8218858;Germany;Judo;Judo Women's Extra-Lightweight;Bronze
Torben Schmidt Grael;M;40;185;194,0067906;Brazil;Sailing;Sailing Mixed Two Person Keelboat;Bronze
"Stephanie ""Steffi"" Graf (-Zitny)";F;27;170;132,2773572;Austria;Athletics;Athletics Women's 800 metres;Silver
Elka Graham (-Whalan);F;18;187;147,7097155;Australia;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Silver
Lorraine Graham (-Fenton);F;27;174;130,0727346;Jamaica;Athletics;Athletics Women's 400 metres;Silver
Lorraine Graham (-Fenton);F;27;174;130,0727346;Jamaica;Athletics;Athletics Women's 4 x 400 metres Relay;Silver
Katherine Jane Grainger;F;24;183;171,9605644;Great Britain;Rowing;Rowing Women's Quadruple Sculls;Silver
James Todd Graves;M;37;180;187,3929227;United States;Shooting;Shooting Men's Skeet;Bronze
Pasquale Gravina;M;30;201;229,2807525;Italy;Volleyball;Volleyball Men's Volleyball;Bronze
Nikola Grbi;M;27;194;200,6206584;Serbia and Montenegro;Volleyball;Volleyball Men's Volleyball;Gold
Vladimir Grbi;M;29;193;191,8021679;Serbia and Montenegro;Volleyball;Volleyball Men's Volleyball;Gold
Maurice Greene;M;26;176;176,3698096;United States;Athletics;Athletics Men's 100 metres;Gold
Maurice Greene;M;26;176;176,3698096;United States;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
Yolanda Yvette Griffith;F;30;193;178,5744322;United States;Basketball;Basketball Women's Basketball;Gold
Tatiana Grigorieva;F;24;180;141,0958477;Australia;Athletics;Athletics Women's Pole Vault;Silver
Torben Risgaard Grimmel;M;24;182;198,4160358;Denmark;Shooting;Shooting Men's Small-Bore Rifle, Prone, 50 metres;Silver
Inka Grings;F;21;168;130,0727346;Germany;Football;Football Women's Football;Bronze
Kjersti Elizabeth Grini;F;29;178;158,7328286;Norway;Handball;Handball Women's Handball;Bronze
Oksana Yuryevna Grishina;F;31;160;127,868112;Russia;Cycling;Cycling Women's Sprint;Silver
Chantal Groot;F;17;175;136,6866024;Netherlands;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Silver
Mariya Zdravkova Grozdeva (Grigorova-);F;28;163;138,8912251;Bulgaria;Shooting;Shooting Women's Sporting Pistol, 25 metres;Gold
Luka Grubor;M;26;198;224,8715072;Great Britain;Rowing;Rowing Men's Coxed Eights;Gold
Sylwia Gruchaa;F;18;172;130,0727346;Poland;Fencing;Fencing Women's Foil, Team;Silver
Vitalie Gruac;M;23;176;158,7328286;Moldova;Boxing;Boxing Men's Welterweight;Bronze
Maja Corina Grnbek;F;29;180;163,1420739;Denmark;Handball;Handball Women's Handball;Gold
Gu Dae-Seong;M;31;183;180,7790548;South Korea;Baseball;Baseball Men's Baseball;Bronze
Gu Jun;F;25;165;136,6866024;China-2;Badminton;Badminton Women's Doubles;Gold
Daina Gudzineviit;F;34;178;167,5513191;Lithuania;Shooting;Shooting Women's Trap;Gold
Brigitte Guibal;F;29;170;127,868112;France;Canoeing;Canoeing Women's Kayak Singles, Slalom;Silver
Rafael Guijosa Castillo;M;31;182;171,9605644;Spain;Handball;Handball Men's Handball;Bronze
Ragnhild ren Gulbrandsen;F;23;171;156,528206;Norway;Football;Football Women's Football;Gold
Solveig Ingersdatter Gulbrandsen (-Andreassen);F;19;170;134,4819798;Norway;Football;Football Women's Football;Gold
Tony Gunawan;M;25;173;176,3698096;Indonesia;Badminton;Badminton Men's Doubles;Gold
Trude Gundersen (-Lehmann);F;23;170;138,8912251;Norway;Taekwondo;Taekwondo Women's Welterweight;Silver
Guo Jingjing;F;18;163;108,0265084;China;Diving;Diving Women's Springboard;Silver
Guo Jingjing;F;18;163;108,0265084;China;Diving;Diving Women's Synchronized Springboard;Silver
Bridgette Marie Gusterson (-Ireland);F;27;180;163,1420739;Australia;Water Polo;Water Polo Women's Water Polo;Gold
Jorge Gutirrez Espinosa;M;24;180;156,528206;Cuba;Boxing;Boxing Men's Middleweight;Gold
Brice Emmanuel Guyart;M;19;186;165,3466965;France;Fencing;Fencing Men's Foil, Team;Gold
Ha Tae-Gwon;M;25;187;191,8021679;South Korea-2;Badminton;Badminton Men's Doubles;Bronze
"Thomas Mario ""Tommy"" Haas";M;22;188;171,9605644;Germany;Tennis;Tennis Men's Singles;Silver
Gianna Habltzel-Brki;F;30;162;110,231131;Switzerland;Fencing;Fencing Women's epee, Individual;Silver
Gianna Habltzel-Brki;F;30;162;110,231131;Switzerland;Fencing;Fencing Women's epee, Team;Silver
Marcel Hacker;M;23;196;222,6668846;Germany;Rowing;Rowing Men's Single Sculls;Bronze
Grant George Hackett;M;20;198;211,6437715;Australia;Swimming;Swimming Men's 1,500 metres Freestyle;Gold
Grant George Hackett;M;20;198;211,6437715;Australia;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Roman Hagara;M;34;171;149,9143382;Austria;Sailing;Sailing Mixed Multihull;Gold
Axel Hager;M;31;202;213,8483941;Germany-1;Beach Volleyball;Beach Volleyball Men's Beach Volleyball;Bronze
Andreas Hajek;M;32;195;220,462262;Germany;Rowing;Rowing Men's Quadruple Sculls;Bronze
Gary Wayne Hall, Jr.;M;25;198;218,2576394;United States;Swimming;Swimming Men's 50 metres Freestyle;Gold
Gary Wayne Hall, Jr.;M;25;198;218,2576394;United States;Swimming;Swimming Men's 100 metres Freestyle;Bronze
Gary Wayne Hall, Jr.;M;25;198;218,2576394;United States;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
Gary Wayne Hall, Jr.;M;25;198;218,2576394;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
Trine Haltvik;F;35;172;156,528206;Norway;Handball;Handball Women's Handball;Bronze
"Mariel Margaret ""Mia"" Hamm (-Corry, -Garciaparra)";F;28;165;123,4588667;United States;Football;Football Women's Football;Silver
Abderrahmane Hammad Zaheer;M;23;189;154,3235834;Algeria;Athletics;Athletics Men's High Jump;Bronze
Han Hyeong-Bae;M;24;184;180,7790548;South Korea;Hockey;Hockey Men's Hockey;Silver
Fiona Hanes-Crawford;F;23;158;123,4588667;Australia;Softball;Softball Women's Softball;Bronze
Simone Hankin;F;27;182;176,3698096;Australia;Water Polo;Water Polo Women's Water Polo;Gold
"Thomas G. ""Tommy"" Hannan";M;20;188;200,6206584;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
Pia Carina Hansen (Larsson-);F;34;181;198,4160358;Sweden;Shooting;Shooting Women's Double Trap;Gold
"Boden Joseph ""Bo"" Hanson";M;27;199;220,462262;Australia;Rowing;Rowing Men's Coxless Fours;Bronze
"Timothy Duane ""Tim"" Hardaway";M;34;180;194,0067906;United States;Basketball;Basketball Men's Basketball;Gold
Kelly Hardie;F;30;182;176,3698096;Australia;Softball;Softball Women's Softball;Bronze
Tanya Victoria Harding;F;28;172;158,7328286;Australia;Softball;Softball Women's Softball;Bronze
Arsi Ilari Harju;M;26;183;242,5084882;Finland;Athletics;Athletics Men's Shot Put;Gold
Lori D. Harrigan (-Mack);F;30;182;218,2576394;United States;Softball;Softball Women's Softball;Gold
Alvin Leonardo Harrison;M;26;188;176,3698096;United States;Athletics;Athletics Men's 400 metres;Silver
Audley Hugh Harrison;M;28;198;242,5084882;Great Britain;Boxing;Boxing Men's Super-Heavyweight;Gold
Regan Dean Harrison;M;22;178;156,528206;Australia;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Silver
Kristi Lee Harrower;F;25;162;138,8912251;Australia;Basketball;Basketball Women's Basketball;Silver
Sara Harstick;F;19;178;145,5050929;Germany;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
Trikus Haryanto;M;26;167;132,2773572;Indonesia-1;Badminton;Badminton Mixed Doubles;Silver
Juliet Haslam;F;31;174;141,0958477;Australia;Hockey;Hockey Women's Hockey;Gold
Margunn Haugenes (Humlestl-);F;30;171;136,6866024;Norway;Football;Football Women's Football;Gold
"Gregory ""Greg"" Haughton";M;26;185;174,165187;Jamaica;Athletics;Athletics Men's 400 metres;Bronze
"Gregory ""Greg"" Haughton";M;26;185;174,165187;Jamaica;Athletics;Athletics Men's 4 x 400 metres Relay;Silver
Rechelle Margaret Hawkes;F;33;165;125,6634893;Australia;Hockey;Hockey Women's Hockey;Gold
Cheryl Ann Haworth;F;17;175;299,8286763;United States;Weightlifting;Weightlifting Women's Super-Heavyweight;Bronze
Brett Ronald Hayman;M;28;165;119,0496215;Australia;Rowing;Rowing Men's Coxed Eights;Silver
Shane Timothy Heams;M;24;182;174,165187;United States;Baseball;Baseball Men's Baseball;Gold
Helen Cristina Santos Luz;F;27;175;134,4819798;Brazil;Basketball;Basketball Women's Basketball;Bronze
Deon Marie Hemmings;F;31;176;138,8912251;Jamaica;Athletics;Athletics Women's 400 metres Hurdles;Silver
Deon Marie Hemmings;F;31;176;138,8912251;Jamaica;Athletics;Athletics Women's 4 x 400 metres Relay;Silver
Jan Hempel;M;29;168;136,6866024;Germany;Diving;Diving Men's Synchronized Platform;Bronze
Danielle Henderson;F;23;185;194,0067906;United States;Softball;Softball Women's Softball;Gold
Hendrawan;M;28;170;149,9143382;Indonesia;Badminton;Badminton Men's Singles;Silver
Monique Hennagan;F;24;173;125,6634893;United States;Athletics;Athletics Women's 4 x 400 metres Relay;Gold
Thamar Nanette Henneken;F;21;185;158,7328286;Netherlands;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Silver
David Andrs Henrquez Espinoza;M;23;172;165,3466965;Chile;Football;Football Men's Football;Bronze
"Samuel ""Sammie"" Henson";M;29;163;119,0496215;United States;Wrestling;Wrestling Men's Bantamweight, Freestyle;Silver
Llewellyn George Herbert;M;23;184;187,3929227;South Africa;Athletics;Athletics Men's 400 metres Hurdles;Bronze
"Mara de la Paz ""Maripi"" Hernndez Margalot";F;23;163;125,6634893;Argentina;Hockey;Hockey Women's Hockey;Silver
No Hernndez Valentn;M;22;175;141,0958477;Mexico;Athletics;Athletics Men's 20 kilometres Walk;Silver
Emilie-Joane Heymans;F;18;170;136,6866024;Canada;Diving;Diving Women's Synchronized Platform;Silver
"Penelope ""Penny"" Heyns";F;25;174;138,8912251;South Africa;Swimming;Swimming Women's 100 metres Breaststroke;Bronze
Yvette Higgins;F;22;173;160,9374513;Australia;Water Polo;Water Polo Women's Water Polo;Gold
tpnka Hilgertov (Prokov-);F;32;164;123,4588667;Czech Republic;Canoeing;Canoeing Women's Kayak Singles, Slalom;Gold
Darryn William Hill;M;26;174;194,0067906;Australia;Cycling;Cycling Men's Team Sprint;Bronze
"Joanne Kay ""Jo"" Hill";F;27;182;154,3235834;Australia;Basketball;Basketball Women's Basketball;Silver
Elisabeth Hilmo;F;23;180;165,3466965;Norway;Handball;Handball Women's Handball;Bronze
Ariane Hingst;F;21;170;136,6866024;Germany;Football;Football Women's Football;Bronze
Juha Petter Hirvi;M;40;177;171,9605644;Finland;Shooting;Shooting Men's Small-Bore Rifle, Three Positions, 50 metres;Silver
Simon John Hiscocks;M;27;183;176,3698096;Great Britain;Sailing;Sailing Mixed Skiff;Silver
Yves Hocd;M;27;181;154,3235834;France;Rowing;Rowing Men's Lightweight Coxless Fours;Gold
Pavol Hochschorner;M;21;176;165,3466965;Slovakia;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Gold
Peter Hochschorner;M;21;188;180,7790548;Slovakia;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Gold
Melanie Hoffmann;F;25;160;123,4588667;Germany;Football;Football Women's Football;Bronze
Anette Hoffmann-Mberg;F;29;175;147,7097155;Denmark;Handball;Handball Women's Handball;Gold
Mari Kim Holden (-Paulsen);F;29;162;105,8218858;United States;Cycling;Cycling Women's Individual Time Trial;Silver
Knut Holmann;M;32;196;198,4160358;Norway;Canoeing;Canoeing Men's Kayak Singles, 500 metres;Gold
Knut Holmann;M;32;196;198,4160358;Norway;Canoeing;Canoeing Men's Kayak Singles, 1,000 metres;Gold
Kelly Holmes;F;30;163;121,2542441;Great Britain;Athletics;Athletics Women's 800 metres;Bronze
Stephen Harris Holt;M;25;196;200,6206584;Australia;Hockey;Hockey Men's Hockey;Bronze
Valeriy Volodymyrovych Honcharov;M;22;168;125,6634893;Ukraine;Gymnastics;Gymnastics Men's Team All-Around;Silver
Hong Seong-Heun;M;23;180;198,4160358;South Korea;Baseball;Baseball Men's Baseball;Bronze
Carlos Eduardo Honorato;M;25;175;198,4160358;Brazil;Judo;Judo Men's Middleweight;Silver
Kate Jon-Marie Hooper;F;22;177;160,9374513;Australia;Water Polo;Water Polo Women's Water Polo;Gold
Gbor Horvth;M;28;192;198,4160358;Hungary;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Gold
Allan Wade Houston;M;29;195;200,6206584;United States;Basketball;Basketball Men's Basketball;Gold
Olena Ivanivna Hovorova;F;26;175;138,8912251;Ukraine;Athletics;Athletics Women's Triple Jump;Bronze
Charmaine L. Howell;F;25;168;130,0727346;Jamaica;Athletics;Athletics Women's 4 x 400 metres Relay;Silver
Kate Louise Howey;F;27;170;152,1189608;Great Britain;Judo;Judo Women's Middleweight;Silver
Andrew James Hoy;M;41;172;138,8912251;Australia;Equestrianism;Equestrianism Mixed Three-Day Event, Individual;Silver
Andrew James Hoy;M;41;172;138,8912251;Australia;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Gold
"Christopher Andrew ""Chris"" Hoy";M;24;185;205,0299037;Great Britain;Cycling;Cycling Men's Team Sprint;Silver
Hu Jia;M;17;170;127,868112;China;Diving;Diving Men's Platform;Silver
Hu Jia;M;17;170;127,868112;China;Diving;Diving Men's Synchronized Platform;Silver
Huang Chih-Hsiung;M;23;172;141,0958477;Chinese Taipei;Taekwondo;Taekwondo Men's Flyweight;Bronze
Huang Nanyan;F;23;167;123,4588667;China;Badminton;Badminton Women's Doubles;Silver
Huang Xu;M;21;162;130,0727346;China;Gymnastics;Gymnastics Men's Team All-Around;Gold
"Nicole Elaine ""Nikki"" Hudson (Mott-)";F;24;165;119,0496215;Australia;Hockey;Hockey Women's Hockey;Gold
"Geoffrey Andrew ""Geoff"" Huegill";M;21;190;205,0299037;Australia;Swimming;Swimming Men's 100 metres Butterfly;Bronze
"Geoffrey Andrew ""Geoff"" Huegill";M;21;190;205,0299037;Australia;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Silver
"Christopher Allen ""Chris"" Huffins";M;30;190;180,7790548;United States;Athletics;Athletics Men's Decathlon;Bronze
Mark Huizinga;M;27;184;198,4160358;Netherlands;Judo;Judo Men's Middleweight;Gold
Mia Terese Hundvin;F;23;165;121,2542441;Norway;Handball;Handball Women's Handball;Bronze
"Benjamin ""Ben"" Hunt-Davis";M;28;198;209,4391489;Great Britain;Rowing;Rowing Men's Coxed Eights;Gold
Marc Huster;M;30;174;181,8813662;Germany;Weightlifting;Weightlifting Men's Light-Heavyweight;Silver
Hwang Jong-Hyeon;M;25;173;147,7097155;South Korea;Hockey;Hockey Men's Hockey;Silver
Misty Dawn Marie Hyman;F;21;170;143,3004703;United States;Swimming;Swimming Women's 200 metres Butterfly;Gold
Nick E. Hysong;M;28;183;169,7559417;United States;Athletics;Athletics Men's Pole Vault;Gold
Jos A. Ibar Martnez;M;31;185;233,6899977;Cuba;Baseball;Baseball Men's Baseball;Silver
Manuel Francisco Ibarra Valdes;M;22;166;141,0958477;Chile;Football;Football Men's Football;Bronze
Mogamed Ibragimov;M;26;180;187,3929227;Macedonia;Wrestling;Wrestling Men's Light-Heavyweight, Freestyle;Bronze
Sultan-Akhmed Magomedsalikhovich Ibragimov;M;25;184;200,6206584;Russia;Boxing;Boxing Men's Heavyweight;Silver
Yermakhan Sagiyevich Ibraimov;M;28;180;156,528206;Kazakhstan;Boxing;Boxing Men's Light-Middleweight;Gold
Josefa Idem-Guerrini;F;35;176;147,7097155;Italy;Canoeing;Canoeing Women's Kayak Singles, 500 metres;Gold
Baraladei Daniel Igali;M;26;168;163,1420739;Canada;Wrestling;Wrestling Men's Welterweight, Freestyle;Gold
Dina Igaly;F;35;172;187,3929227;Hungary;Shooting;Shooting Women's Skeet;Bronze
Doina Ignat;F;31;181;178,5744322;Romania;Rowing;Rowing Women's Coxless Pairs;Gold
Doina Ignat;F;31;181;178,5744322;Romania;Rowing;Rowing Women's Coxed Eights;Gold
Danilo Ikodinovi;M;23;188;196,2114132;Serbia and Montenegro;Water Polo;Water Polo Men's Water Polo;Bronze
Irina Valeryevna Ilenkova;F;20;164;92,59415004;Belarus;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Silver
Vera Sergeyevna Ilyina;F;26;162;108,0265084;Russia;Diving;Diving Women's Synchronized Springboard;Gold
Im Chang-Yong;M;24;180;165,3466965;South Korea;Baseball;Baseball Men's Baseball;Bronze
Im Jeong-U;M;22;174;154,3235834;South Korea;Hockey;Hockey Men's Hockey;Silver
Im Jong-Cheon;M;22;176;165,3466965;South Korea;Hockey;Hockey Men's Hockey;Silver
Im Seon-Dong;M;27;187;209,4391489;South Korea;Baseball;Baseball Men's Baseball;Bronze
