Names;Gender;Age;Height (cm);Weight (lbs);Team;Sport;Event;Medal
rad Suleyman Aumova;F;46;158;125,6634893;Azerbaijan;Shooting;Shooting Women's Sporting Pistol, 25 metres;Bronze
Musa Audu;M;24;174;165,3466965;Nigeria;Athletics;Athletics Men's 4 x 400 metres Relay;Bronze
Roberto Fabin Ayala;M;31;177;165,3466965;Argentina;Football;Football Men's Football;Gold
"Luciana Paula ""Lucha"" Aymar";F;27;178;130,0727346;Argentina;Hockey;Hockey Women's Hockey;Bronze
Sarah Lianne Ayton (-Dempsey);F;24;167;138,8912251;Great Britain;Sailing;Sailing Women's Three Person Keelboat;Gold
Yelena Yuryevna Azarova;F;31;165;141,0958477;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
Karina Borisovna Aznavuryan;F;29;170;130,0727346;Russia;Fencing;Fencing Women's epee, Team;Gold
Sandra Azn Canalda;F;30;171;149,9143382;Spain;Sailing;Sailing Women's Two Person Dinghy;Silver
Jaroslav Bba;M;19;199;189,5975453;Czech Republic;Athletics;Athletics Men's High Jump;Bronze
Juraj Baa;M;27;186;191,8021679;Slovakia;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Bronze
Bjrn Bach;M;28;195;202,825281;Germany;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Silver
Tina Bachmann;F;26;165;141,0958477;Germany;Hockey;Hockey Women's Hockey;Gold
Isabell Bachor;F;21;174;138,8912251;Germany;Football;Football Women's Football;Bronze
"Cameron ""Cam"" Baerg";M;31;182;198,4160358;Canada;Rowing;Rowing Men's Coxless Fours;Silver
Nathan Baggaley;M;28;193;198,4160358;Australia;Canoeing;Canoeing Men's Kayak Singles, 500 metres;Silver
Nathan Baggaley;M;28;193;198,4160358;Australia;Canoeing;Canoeing Men's Kayak Doubles, 500 metres;Silver
Aleen May Bailey;F;23;170;141,0958477;Jamaica;Athletics;Athletics Women's 4 x 100 metres Relay;Gold
Hanna Serhivna Balabanova (Nepitaieva-);F;34;178;158,7328286;Ukraine;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Bronze
Roman Vladimirovich Balashov;M;27;192;211,6437715;Russia;Water Polo;Water Polo Men's Water Polo;Bronze
Ledys Frank Balceiro Pajn;M;29;178;171,9605644;Cuba;Canoeing;Canoeing Men's Canadian Doubles, 500 metres;Silver
Stefano Baldini;M;33;176;136,6866024;Italy;Athletics;Athletics Men's Marathon;Gold
Ivano Bali;M;25;190;211,6437715;Croatia;Handball;Handball Men's Handball;Gold
"Suzanne Elspeth ""Suzy"" Balogh";F;31;166;187,3929227;Australia;Shooting;Shooting Women's Trap;Gold
Oana Mihaela Ban;F;18;139;79,36641432;Romania;Gymnastics;Gymnastics Women's Team All-Around;Gold
Sergey Andreyevich Baranov;M;23;208;207,2345263;Russia;Volleyball;Volleyball Men's Volleyball;Bronze
Yelena Viktorovna Baranova;F;32;192;176,3698096;Russia;Basketball;Basketball Women's Basketball;Bronze
Georgina Bardach Martin;F;20;172;138,8912251;Argentina;Swimming;Swimming Women's 400 metres Individual Medley;Bronze
Fredy Jos Bareiro Gamarra;M;22;179;169,7559417;Paraguay;Football;Football Men's Football;Silver
Steven John Barnett;M;25;174;165,3466965;Australia;Diving;Diving Men's Synchronized Springboard;Bronze
