Names;Gender;Age;Height (cm);Weight (lbs);Team;Sport;Event;Medal
Gavin Fingleson;M;28;177;191,8021679;Australia;Baseball;Baseball Men's Baseball;Silver
Tatyana Pavlovna Firova;F;21;174;130,0727346;Russia;Athletics;Athletics Women's 4 x 400 metres Relay;Silver
Marcel Fischer;M;25;190;171,9605644;Switzerland;Fencing;Fencing Men's epee, Individual;Gold
Birgit Fischer-Schmidt;F;42;172;152,1189608;Germany;Canoeing;Canoeing Women's Kayak Doubles, 500 metres;Silver
Birgit Fischer-Schmidt;F;42;172;152,1189608;Germany;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Gold
Mardy Simpson Fish;M;22;187;178,5744322;United States;Tennis;Tennis Men's Singles;Silver
Nils Olav Fjeldheim;M;27;178;176,3698096;Norway;Canoeing;Canoeing Men's Kayak Doubles, 1,000 metres;Bronze
Laura lodie Flessel-Colovic;F;32;171;121,2542441;France;Fencing;Fencing Women's epee, Individual;Silver
Laura lodie Flessel-Colovic;F;32;171;121,2542441;France;Fencing;Fencing Women's epee, Team;Bronze
"Deborah Kirsty ""Debbie"" Flood";F;24;177;167,5513191;Great Britain;Rowing;Rowing Women's Quadruple Sculls;Silver
Rzvan Ionu Florea;M;23;186;158,7328286;Romania;Swimming;Swimming Men's 200 metres Backstroke;Bronze
Rodica Maria Florea-erban;F;21;183;160,9374513;Romania;Rowing;Rowing Women's Coxed Eights;Gold
Tairia Flowers;F;23;170;160,9374513;United States;Softball;Softball Women's Softball;Gold
Rajmund Fodor;M;28;190;207,2345263;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Paul Jeffrey Foerster;M;40;172;149,9143382;United States;Sailing;Sailing Men's Two Person Dinghy;Gold
"Miraildes ""Formiga"" Maciel Mota";F;26;162;116,8449989;Brazil;Football;Football Women's Football;Silver
Julie Maurine Foudy;F;33;165;130,0727346;United States;Football;Football Women's Football;Gold
"Benjamin John ""Ben"" Fouhy";M;25;183;191,8021679;New Zealand;Canoeing;Canoeing Men's Kayak Singles, 1,000 metres;Silver
William Speed Lane Fox-Pitt;M;35;196;176,3698096;Great Britain;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Silver
Jacqueline Frank (-DeLuca);F;24;180;158,7328286;United States;Water Polo;Water Polo Women's Water Polo;Bronze
Carl Peder Fredricson;M;32;189;176,3698096;Sweden;Equestrianism;Equestrianism Mixed Jumping, Team;Silver
Amanda Louise Freed;F;24;172;136,6866024;United States;Softball;Softball Women's Softball;Gold
Gal Fridman;M;28;183;149,9143382;Israel;Sailing;Sailing Men's Windsurfer;Gold
Henning Fritz;M;29;189;196,2114132;Germany;Handball;Handball Men's Handball;Silver
Katrine Fruelund;F;26;174;158,7328286;Denmark;Handball;Handball Women's Handball;Gold
Michiyo Fujimaru;F;25;165;121,2542441;Japan;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Atsushi Fujimoto;M;26;173;156,528206;Japan;Baseball;Baseball Men's Baseball;Bronze
Kosuke Fukudome;M;27;182;185,1883001;Japan;Baseball;Baseball Men's Baseball;Bronze
Guido Fulst;M;34;180;171,9605644;Germany;Cycling;Cycling Men's Points Race;Bronze
Ivn Fundora Zaldivar;M;28;169;163,1420739;Cuba;Wrestling;Wrestling Men's Middleweight, Freestyle;Bronze
"Philippa Rachel ""Pippa"" Funnell (Nolan-)";F;35;168;149,9143382;Great Britain;Equestrianism;Equestrianism Mixed Three-Day Event, Individual;Bronze
"Philippa Rachel ""Pippa"" Funnell (Nolan-)";F;35;168;149,9143382;Great Britain;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Silver
Toshiaki Fushimi;M;28;181;187,3929227;Japan;Cycling;Cycling Men's Team Sprint;Silver
Sonja Fuss;F;25;168;125,6634893;Germany;Football;Football Women's Football;Bronze
Olga Olegovna Fyodorova-Stulneva;F;21;172;165,3466965;Russia;Athletics;Athletics Women's 4 x 100 metres Relay;Silver
Karam Mohamed Gaber Ibrahim;M;24;182;185,1883001;Egypt;Wrestling;Wrestling Men's Heavyweight, Greco-Roman;Gold
Jan-Willem Gabrils;M;25;195;218,2576394;Netherlands;Rowing;Rowing Men's Coxed Eights;Silver
Liliana Gafencu;F;29;178;167,5513191;Romania;Rowing;Rowing Women's Coxed Eights;Gold
"Giacomo ""Jack"" Galanda";M;29;210;238,099243;Italy;Basketball;Basketball Men's Basketball;Silver
Marco Galiazzo;M;21;178;216,0530168;Italy;Archery;Archery Men's Individual;Gold
Lyubov Vladimirovna Galkina;F;31;165;123,4588667;Russia;Shooting;Shooting Women's Air Rifle, 10 metres;Silver
Lyubov Vladimirovna Galkina;F;31;165;123,4588667;Russia;Shooting;Shooting Women's Small-Bore Rifle, Three Positions, 50 metres;Gold
Rossano Galtarossa;M;32;200;224,8715072;Italy;Rowing;Rowing Men's Double Sculls;Bronze
Carlos Alberto Gamarra Pavon;M;33;179;187,3929227;Paraguay;Football;Football Men's Football;Silver
Yuriorkis Gamboa Toledano;M;22;150;112,4357536;Cuba;Boxing;Boxing Men's Flyweight;Gold
Yekaterina Aleksandrovna Gamova;F;23;202;176,3698096;Russia;Volleyball;Volleyball Women's Volleyball;Silver
Laurent Jacques Andr Gan;M;31;176;174,165187;France;Cycling;Cycling Men's Team Sprint;Bronze
Renal Ramilevich Ganeyev;M;19;182;165,3466965;Russia;Fencing;Fencing Men's Foil, Team;Bronze
Mark Daniel Gangloff;M;22;183;185,1883001;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
Gao E;F;41;168;123,4588667;China;Shooting;Shooting Women's Double Trap;Bronze
Gao Feng;F;22;155;105,8218858;China;Judo;Judo Women's Extra-Lightweight;Bronze
Gao Ling;F;25;169;134,4819798;China-2;Badminton;Badminton Mixed Doubles;Gold
Gao Ling;F;25;169;134,4819798;China;Badminton;Badminton Women's Doubles;Silver
Sergey Nikolayevich Garbuzov;M;30;192;202,825281;Russia;Water Polo;Water Polo Men's Water Polo;Bronze
Anier Octavio Garca Ortz;M;28;189;174,165187;Cuba;Athletics;Athletics Men's 110 metres Hurdles;Bronze
"Agustina Soledad ""Sole"" Garca";F;23;163;141,0958477;Argentina;Hockey;Hockey Women's Hockey;Bronze
Jason John Gardener;M;28;176;165,3466965;Great Britain;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
Rulon E. Gardner;M;32;187;264,5547144;United States;Wrestling;Wrestling Men's Super-Heavyweight, Greco-Roman;Bronze
Kerstin Garefrekes;F;24;180;143,3004703;Germany;Football;Football Women's Football;Bronze
Luca Garri;M;22;204;224,8715072;Italy;Basketball;Basketball Men's Basketball;Silver
Andrea Gasbarroni;M;23;174;154,3235834;Italy;Football;Football Men's Football;Bronze
Justin Alexander Gatlin;M;22;186;176,3698096;United States;Athletics;Athletics Men's 100 metres;Gold
Justin Alexander Gatlin;M;22;186;176,3698096;United States;Athletics;Athletics Men's 200 metres;Bronze
Justin Alexander Gatlin;M;22;186;176,3698096;United States;Athletics;Athletics Men's 4 x 100 metres Relay;Silver
Khadzhimurat Soltanovich Gatsalov;M;21;178;207,2345263;Russia;Wrestling;Wrestling Men's Heavyweight, Freestyle;Gold
Jason Gatson;M;24;165;158,7328286;United States;Gymnastics;Gymnastics Men's Team All-Around;Silver
Gaydarbek Abdulayevich Gaydarbekov;M;27;183;165,3466965;Russia;Boxing;Boxing Men's Middleweight;Gold
Nataliya Nikolayevna Gelakh;F;26;190;187,3929227;Belarus;Rowing;Rowing Women's Coxless Pairs;Bronze
Pascal Guy Gentil;M;31;198;209,4391489;France;Taekwondo;Taekwondo Men's Heavyweight;Bronze
Bevan Christopher George;M;27;190;191,8021679;Australia;Hockey;Hockey Men's Hockey;Gold
Elena Georgescu-Nedelcu;F;40;160;121,2542441;Romania;Rowing;Rowing Women's Coxed Eights;Gold
Boris Metodiev Georgiev;M;21;180;141,0958477;Bulgaria;Boxing;Boxing Men's Light-Welterweight;Bronze
Georgi Angelov Georgiev;M;28;168;145,5050929;Bulgaria;Judo;Judo Men's Half-Lightweight;Bronze
Istvn Gergely;M;27;202;246,9177334;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Andreas Geritzer;M;26;182;180,7790548;Austria;Sailing;Sailing Mixed One Person Dinghy;Silver
Ionu Gheorghe;M;20;173;141,0958477;Romania;Boxing;Boxing Men's Light-Welterweight;Bronze
Andrea Giani;M;34;196;213,8483941;Italy;Volleyball;Volleyball Men's Volleyball;Silver
"Gilberto Amauri ""Giba"" de Godoy Filho";M;27;192;187,3929227;Brazil;Volleyball;Volleyball Men's Volleyball;Gold
Giuseppe Gibilisco;M;25;184;171,9605644;Italy;Athletics;Athletics Men's Pole Vault;Bronze
Rebecca Giddens;F;26;165;138,8912251;United States;Canoeing;Canoeing Women's Kayak Singles, Slalom;Silver
Elena Gigli;F;19;192;180,7790548;Italy;Water Polo;Water Polo Women's Water Polo;Gold
Alberto Gilardino;M;22;185;171,9605644;Italy;Football;Football Men's Football;Bronze
Christian Gille;M;28;184;202,825281;Germany;Canoeing;Canoeing Men's Canadian Doubles, 1,000 metres;Gold
Pablo Jnior Gimnez;M;23;177;165,3466965;Paraguay;Football;Football Men's Football;Silver
Drew Cameron Ginn;M;29;195;187,3929227;Australia;Rowing;Rowing Men's Coxless Pairs;Gold
"Emanuel David ""Manu"" Ginbili Maccari";M;27;198;200,6206584;Argentina;Basketball;Basketball Men's Basketball;Gold
Giovane Farinazzo Gvio;M;33;196;198,4160358;Brazil;Volleyball;Volleyball Men's Volleyball;Gold
"Jonathan ""Joe"" Glanfield";M;25;183;154,3235834;Great Britain;Sailing;Sailing Men's Two Person Dinghy;Silver
Olga Vyacheslavovna Glatskikh;F;15;170;110,231131;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Gold
Vladimir Gojkovi;M;23;188;202,825281;Serbia and Montenegro;Water Polo;Water Polo Men's Water Polo;Silver
Natalie Golda (-Benson);F;22;180;185,1883001;United States;Water Polo;Water Polo Women's Water Polo;Bronze
Scott Daniel Goldblatt;M;25;187;169,7559417;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Gennady Gennadyevich Golovkin;M;22;180;165,3466965;Kazakhstan;Boxing;Boxing Men's Middleweight;Silver
Slavko Golua;M;32;196;220,462262;Croatia;Handball;Handball Men's Handball;Gold
Anna Gomis;F;30;158;121,2542441;France;Wrestling;Wrestling Women's Lightweight, Freestyle;Bronze
Nataliya Mikhaylovna Goncharova;F;16;155;110,231131;Russia;Diving;Diving Women's Synchronized Platform;Silver
Jozef Gnci;M;30;186;178,5744322;Slovakia;Shooting;Shooting Men's Air Rifle, 10 metres;Bronze
Driulys Gonzlez Morales;F;30;162;138,8912251;Cuba;Judo;Judo Women's Half-Middleweight;Bronze
Fernando Francisco Gonzlez Ciuffardi;M;24;182;180,7790548;Chile;Tennis;Tennis Men's Singles;Bronze
Fernando Francisco Gonzlez Ciuffardi;M;24;182;180,7790548;Chile;Tennis;Tennis Men's Doubles;Gold
Julio Valentn Gonzlez Ferreira;M;22;191;182,9836775;Paraguay;Football;Football Men's Football;Silver
"Cristian Alberto ""Kily"" Gonzlez Peret";M;30;176;160,9374513;Argentina;Football;Football Men's Football;Gold
Luis Oscar Gonzlez;M;23;185;165,3466965;Argentina;Football;Football Men's Football;Gold
Mariana Alejandra Gonzlez Oliva Gulla;F;28;158;110,231131;Argentina;Hockey;Hockey Women's Hockey;Bronze
Mariano Nicols Gonzlez;M;23;175;169,7559417;Argentina;Football;Football Men's Football;Gold
Norberto Gonzlez Miranda;M;24;184;174,165187;Cuba;Baseball;Baseball Men's Baseball;Gold
Paul Gonzalez;M;35;186;189,5975453;Australia;Baseball;Baseball Men's Baseball;Silver
Aleksandr Valeryevich Gorbatikov;M;22;187;189,5975453;Russia;Handball;Handball Men's Handball;Bronze
Vyacheslav Nikolayevich Gorpishin;M;34;200;220,462262;Russia;Handball;Handball Men's Handball;Bronze
Dmitry Georgiyevich Gorshkov;M;37;180;207,2345263;Russia;Water Polo;Water Polo Men's Water Polo;Bronze
Daniela Gtz;F;16;175;132,2773572;Germany;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Bronze
Janina-Kristin Gtz;F;23;172;132,2773572;Germany;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
Yulieski Gourriel Castillo;M;20;180;163,1420739;Cuba;Baseball;Baseball Men's Baseball;Gold
Torben Schmidt Grael;M;44;185;194,0067906;Brazil;Sailing;Sailing Men's Two Person Keelboat;Gold
Katherine Jane Grainger;F;28;183;171,9605644;Great Britain;Rowing;Rowing Women's Coxless Pairs;Silver
"Dibora Monick Olga ""Deborah"" Gravenstijn";F;29;163;125,6634893;Netherlands;Judo;Judo Women's Lightweight;Bronze
Grazielle Pinheiro Guimares Nascimento;F;23;162;119,0496215;Brazil;Football;Football Women's Football;Silver
Maurice Greene;M;30;176;176,3698096;United States;Athletics;Athletics Men's 100 metres;Bronze
Maurice Greene;M;30;176;176,3698096;United States;Athletics;Athletics Men's 4 x 100 metres Relay;Silver
Melania Grego;F;31;171;158,7328286;Italy;Water Polo;Water Polo Women's Water Polo;Gold
Yolanda Yvette Griffith;F;34;193;178,5744322;United States;Basketball;Basketball Women's Basketball;Gold
Mariya Igorevna Gromova;F;20;172;134,4819798;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
Chantal Groot;F;21;175;136,6866024;Netherlands;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze
Mariya Zdravkova Grozdeva (Grigorova-);F;32;163;138,8912251;Bulgaria;Shooting;Shooting Women's Air Pistol, 10 metres;Bronze
Mariya Zdravkova Grozdeva (Grigorova-);F;32;163;138,8912251;Bulgaria;Shooting;Shooting Women's Sporting Pistol, 25 metres;Gold
Sylwia Gruchaa;F;22;172;130,0727346;Poland;Fencing;Fencing Women's Foil, Individual;Bronze
Franziska Gude (-Lwe);F;28;165;136,6866024;Germany;Hockey;Hockey Women's Hockey;Gold
Belem Guerrero Mndez;F;30;160;127,868112;Mexico;Cycling;Cycling Women's Points Race;Silver
Ana Gabriela Guevara Espinoza;F;27;173;134,4819798;Mexico;Athletics;Athletics Women's 400 metres;Silver
Leandro Marques Guilheiro;M;21;176;178,5744322;Brazil;Judo;Judo Men's Lightweight;Bronze
Alejandra Laura Gulla;F;27;165;136,6866024;Argentina;Hockey;Hockey Women's Hockey;Bronze
Sarah Gnther;F;21;167;121,2542441;Germany;Football;Football Women's Football;Bronze
Guo Jingjing;F;22;163;108,0265084;China;Diving;Diving Women's Springboard;Gold
Guo Jingjing;F;22;163;108,0265084;China;Diving;Diving Women's Synchronized Springboard;Gold
Guo Yue;F;16;165;119,0496215;China-2;Table Tennis;Table Tennis Women's Doubles;Bronze
Gustavo Endres;M;28;203;216,0530168;Brazil;Volleyball;Volleyball Men's Volleyball;Gold
Diana Vladimirovna Gustilina;F;30;180;158,7328286;Russia;Basketball;Basketball Women's Basketball;Bronze
Leonardo Martn Gutirrez;M;26;200;231,4853751;Argentina;Basketball;Basketball Men's Basketball;Gold
Brice Emmanuel Guyart;M;23;186;165,3466965;France;Fencing;Fencing Men's Foil, Individual;Gold
Dniel Gyurta;M;15;185;169,7559417;Hungary;Swimming;Swimming Men's 200 metres Breaststroke;Silver
Ha Tae-Gwon;M;29;187;191,8021679;South Korea-2;Badminton;Badminton Men's Doubles;Gold
Mandy Haase;F;22;164;127,868112;Germany;Hockey;Hockey Women's Hockey;Gold
Grant George Hackett;M;24;198;211,6437715;Australia;Swimming;Swimming Men's 400 metres Freestyle;Silver
Grant George Hackett;M;24;198;211,6437715;Australia;Swimming;Swimming Men's 1,500 metres Freestyle;Gold
Grant George Hackett;M;24;198;211,6437715;Australia;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
Roman Hagara;M;38;171;149,9143382;Austria;Sailing;Sailing Mixed Multihull;Gold
Gary Wayne Hall, Jr.;M;29;198;218,2576394;United States;Swimming;Swimming Men's 50 metres Freestyle;Gold
Gary Wayne Hall, Jr.;M;29;198;218,2576394;United States;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze
Kyoko Hamaguchi;F;26;170;158,7328286;Japan;Wrestling;Wrestling Women's Heavyweight, Freestyle;Bronze
"Mariel Margaret ""Mia"" Hamm (-Corry, -Garciaparra)";F;32;165;123,4588667;United States;Football;Football Women's Football;Gold
Morgan Carl Hamm;M;21;165;143,3004703;United States;Gymnastics;Gymnastics Men's Team All-Around;Silver
Paul Elbert Hamm;M;21;165;136,6866024;United States;Gymnastics;Gymnastics Men's Individual All-Around;Gold
Paul Elbert Hamm;M;21;165;136,6866024;United States;Gymnastics;Gymnastics Men's Team All-Around;Silver
Paul Elbert Hamm;M;21;165;136,6866024;United States;Gymnastics;Gymnastics Men's Horizontal Bar;Silver
"Robert Rodney ""Rob"" Hammond";M;23;176;165,3466965;Australia;Hockey;Hockey Men's Hockey;Gold
Jakub Hank;M;21;193;211,6437715;Czech Republic;Rowing;Rowing Men's Quadruple Sculls;Silver
Fiona Hanes-Crawford;F;27;158;123,4588667;Australia;Softball;Softball Women's Softball;Silver
Brendan Joseph Hansen;M;22;183;187,3929227;United States;Swimming;Swimming Men's 100 metres Breaststroke;Silver
Brendan Joseph Hansen;M;22;183;187,3929227;United States;Swimming;Swimming Men's 200 metres Breaststroke;Bronze
Brendan Joseph Hansen;M;22;183;187,3929227;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
"Joseph ""Joey"" Hansen";M;24;198;213,8483941;United States;Rowing;Rowing Men's Coxed Eights;Gold
"Boden Joseph ""Bo"" Hanson";M;31;199;220,462262;Australia;Rowing;Rowing Men's Coxed Eights;Bronze
Brooke Louise Hanson (-Clarke);F;26;175;147,7097155;Australia;Swimming;Swimming Women's 100 metres Breaststroke;Silver
Brooke Louise Hanson (-Clarke);F;26;175;147,7097155;Australia;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Saho Harada;F;21;166;123,4588667;Japan;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Tanya Victoria Harding;F;32;172;158,7328286;Australia;Softball;Softball Women's Softball;Silver
Adrien Hardy;M;26;197;191,8021679;France;Rowing;Rowing Men's Double Sculls;Gold
Georgina Claire Harland (-Seccombe);F;26;177;136,6866024;Great Britain;Modern Pentathlon;Modern Pentathlon Women's Individual;Bronze
Lori D. Harrigan (-Mack);F;33;182;218,2576394;United States;Softball;Softball Women's Softball;Gold
Otis Harris, Jr.;M;22;185;182,9836775;United States;Athletics;Athletics Men's 400 metres;Silver
Otis Harris, Jr.;M;22;185;182,9836775;United States;Athletics;Athletics Men's 4 x 400 metres Relay;Gold
Loretta Harrop;F;29;168;116,8449989;Australia;Triathlon;Triathlon Women's Olympic Distance;Silver
Kristi Lee Harrower;F;29;162;138,8912251;Australia;Basketball;Basketball Women's Basketball;Silver
Sara Harstick;F;22;178;145,5050929;Germany;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
Blythe Hartley;F;22;165;123,4588667;Canada;Diving;Diving Women's Synchronized Platform;Bronze
Annia Portuondo Hatch;F;26;152;94,79877266;United States;Gymnastics;Gymnastics Women's Team All-Around;Silver
Annia Portuondo Hatch;F;26;152;94,79877266;United States;Gymnastics;Gymnastics Women's Horse Vault;Silver
Joanna Dove Hayes;F;27;167;127,868112;United States;Athletics;Athletics Women's 100 metres Hurdles;Gold
"Robert John ""Rob"" Hayles";M;31;188;176,3698096;Great Britain;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Silver
"Robert John ""Rob"" Hayles";M;31;188;176,3698096;Great Britain;Cycling;Cycling Men's Madison;Bronze
He Ying;F;27;170;149,9143382;China;Archery;Archery Women's Team;Silver
Ali Reza Heidari;M;28;186;211,6437715;Iran;Wrestling;Wrestling Men's Heavyweight, Freestyle;Bronze
Britta Heidemann;F;21;180;154,3235834;Germany;Fencing;Fencing Women's epee, Team;Silver
Claudia Heill;F;22;176;143,3004703;Austria;Judo;Judo Women's Half-Middleweight;Silver
Ivn Gabriel Heinze;M;26;179;171,9605644;Argentina;Football;Football Men's Football;Gold
Andr Heller;M;28;199;205,0299037;Brazil;Volleyball;Volleyball Men's Volleyball;Gold
Mathew Glen Helm;M;23;170;136,6866024;Australia;Diving;Diving Men's Platform;Silver
Mathew Glen Helm;M;23;170;136,6866024;Australia;Diving;Diving Men's Synchronized Platform;Bronze
"Matthew E. ""Matt"" Hemingway";M;31;200;185,1883001;United States;Athletics;Athletics Men's High Jump;Silver
Monique Marie Henderson;F;21;170;119,0496215;United States;Athletics;Athletics Women's 4 x 400 metres Relay;Gold
Justine Henin-Hardenne;F;22;167;132,2773572;Belgium;Tennis;Tennis Women's Singles;Gold
Monique Hennagan;F;28;173;125,6634893;United States;Athletics;Athletics Women's 4 x 400 metres Relay;Gold
Jodie Clare Henry;F;20;176;138,8912251;Australia;Swimming;Swimming Women's 100 metres Freestyle;Gold
Jodie Clare Henry;F;20;176;138,8912251;Australia;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Gold
Jodie Clare Henry;F;20;176;138,8912251;Australia;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Pascal Hens;M;24;203;220,462262;Germany;Handball;Handball Men's Handball;Silver
Stefan Henze;M;23;177;165,3466965;Germany-1;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Silver
Heo Sun-Yeong;F;28;180;156,528206;South Korea;Handball;Handball Women's Handball;Silver
Heo Yeong-Suk;F;29;170;134,4819798;South Korea;Handball;Handball Women's Handball;Silver
Jos Antonio Hermida Ramos;M;25;172;147,7097155;Spain;Cycling;Cycling Men's Mountainbike, Cross-Country;Silver
"Mara de la Paz ""Maripi"" Hernndez Margalot";F;27;163;125,6634893;Argentina;Hockey;Hockey Women's Hockey;Bronze
Pablo Herrera Allepuz;M;22;193;194,0067906;Spain;Beach Volleyball;Beach Volleyball Men's Beach Volleyball;Silver
Walter Herrmann;M;25;203;231,4853751;Argentina;Basketball;Basketball Men's Basketball;Gold
"Thomas Alan ""Tom"" Herschmiller";M;26;198;205,0299037;Canada;Rowing;Rowing Men's Coxless Fours;Silver
Patrick Heuscher;M;27;194;205,0299037;Switzerland-2;Beach Volleyball;Beach Volleyball Men's Beach Volleyball;Bronze
Ilse Heylen (-Berghmans);F;27;161;125,6634893;Belgium;Judo;Judo Women's Half-Lightweight;Bronze
Emilie-Joane Heymans;F;22;170;136,6866024;Canada;Diving;Diving Women's Synchronized Platform;Bronze
Mark Christopher Hickman;M;30;183;198,4160358;Australia;Hockey;Hockey Men's Hockey;Gold
Taufik Hidayat;M;23;175;143,3004703;Indonesia;Badminton;Badminton Men's Singles;Gold
Clinton Rory Hill;M;24;186;169,7559417;Australia;Athletics;Athletics Men's 4 x 400 metres Relay;Silver
Ariane Hingst;F;25;170;136,6866024;Germany;Football;Football Women's Football;Bronze
Simon John Hiscocks;M;31;183;176,3698096;Great Britain;Sailing;Sailing Mixed Skiff;Bronze
Pavol Hochschorner;M;24;176;165,3466965;Slovakia;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Gold
Peter Hochschorner;M;24;188;180,7790548;Slovakia;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Gold
Natalie Hodgskin (-Shapiro);F;28;165;138,8912251;Australia;Softball;Softball Women's Softball;Silver
Stefan Christian Holm;M;28;181;156,528206;Sweden;Athletics;Athletics Men's High Jump;Gold
Kelly Holmes;F;34;163;121,2542441;Great Britain;Athletics;Athletics Women's 800 metres;Gold
Kelly Holmes;F;34;163;121,2542441;Great Britain;Athletics;Athletics Women's 1,500 metres;Gold
Nienke Heiltje Hommes;F;27;180;152,1189608;Netherlands;Rowing;Rowing Women's Coxed Eights;Bronze
Valeriy Volodymyrovych Honcharov;M;26;168;125,6634893;Ukraine;Gymnastics;Gymnastics Men's Parallel Bars;Gold
Iryna Yurivna Honcharova;F;29;180;160,9374513;Ukraine;Handball;Handball Women's Handball;Bronze
Roman Volodymyrovych Hontiuk;M;20;178;178,5744322;Ukraine;Judo;Judo Men's Half-Middleweight;Silver
Beau Hoopman;M;23;193;200,6206584;United States;Rowing;Rowing Men's Coxed Eights;Gold
Kerry Hore;F;23;183;163,1420739;Australia;Rowing;Rowing Women's Quadruple Sculls;Bronze
Gbor Horvth;M;32;192;198,4160358;Hungary;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Gold
Frances Julia Houghton;F;23;193;176,3698096;Great Britain;Rowing;Rowing Women's Quadruple Sculls;Silver
"Christopher Andrew ""Chris"" Hoy";M;28;185;205,0299037;Great Britain;Cycling;Cycling Men's 1,000 metres Time Trial;Gold
Rikke Hrlykke Jrgensen;F;28;171;132,2773572;Denmark;Handball;Handball Women's Handball;Gold
Dmytro Olehovych Hrachov;M;20;180;198,4160358;Ukraine;Archery;Archery Men's Team;Bronze
Serhiy Mykhailovych Hryn;M;22;195;220,462262;Ukraine;Rowing;Rowing Men's Quadruple Sculls;Bronze
Hu Jia;M;21;170;127,868112;China;Diving;Diving Men's Platform;Gold
Huang Chih-Hsiung;M;27;172;141,0958477;Chinese Taipei;Taekwondo;Taekwondo Men's Featherweight;Silver
Huang Shanshan;F;18;157;105,8218858;China;Trampolining;Trampolining Women's Individual;Bronze
Huang Sui;F;22;171;154,3235834;China;Badminton;Badminton Women's Doubles;Silver
Angela Khalia Hucles;F;26;170;138,8912251;United States;Football;Football Women's Football;Gold
Mark Huizinga;M;30;184;198,4160358;Netherlands;Judo;Judo Men's Middleweight;Bronze
Terin Marie Humphrey;F;17;152;94,79877266;United States;Gymnastics;Gymnastics Women's Team All-Around;Silver
Terin Marie Humphrey;F;17;152;94,79877266;United States;Gymnastics;Gymnastics Women's Uneven Bars;Silver
Muriel Hurtis-Houairi;F;25;180;149,9143382;France;Athletics;Athletics Women's 4 x 100 metres Relay;Bronze
Hwang Gyeong-Seon;F;18;175;147,7097155;South Korea;Taekwondo;Taekwondo Women's Welterweight;Bronze
Lenka Hykov-Marukov;F;19;175;182,9836775;Czech Republic;Shooting;Shooting Women's Sporting Pistol, 25 metres;Silver
Magomed Abdulmumynovych Ibragimov;M;20;193;211,6437715;Uzbekistan;Wrestling;Wrestling Men's Heavyweight, Freestyle;Silver
Chiharu Icho;F;22;157;105,8218858;Japan;Wrestling;Wrestling Women's Flyweight, Freestyle;Silver
Kaori Icho;F;20;166;134,4819798;Japan;Wrestling;Wrestling Women's Middleweight, Freestyle;Gold
Josefa Idem-Guerrini;F;39;176;147,7097155;Italy;Canoeing;Canoeing Women's Kayak Singles, 500 metres;Silver
Dina Igaly;F;39;172;187,3929227;Hungary;Shooting;Shooting Women's Skeet;Gold
Doina Ignat;F;35;181;178,5744322;Romania;Rowing;Rowing Women's Coxed Eights;Gold
Mikhail Borisovich Ignatyev;M;19;176;147,7097155;Russia;Cycling;Cycling Men's Points Race;Gold
Andreas Ihle;M;25;184;176,3698096;Germany;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Silver
Danilo Ikodinovi;M;27;188;196,2114132;Serbia and Montenegro;Water Polo;Water Polo Men's Water Polo;Silver
Ilias Iliadis;M;17;179;198,4160358;Greece;Judo;Judo Men's Half-Middleweight;Gold
Zhaneta Tosheva Ilieva;F;19;176;119,0496215;Bulgaria;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
Vera Sergeyevna Ilyina;F;30;162;108,0265084;Russia;Diving;Diving Women's Synchronized Springboard;Silver
Im Dong-Hyeon;M;19;184;220,462262;South Korea;Archery;Archery Men's Team;Gold
Im O-Gyeong;F;32;167;143,3004703;South Korea;Handball;Handball Women's Handball;Silver
Jan-Olaf Immel;M;28;202;231,4853751;Germany;Handball;Handball Men's Handball;Silver
