Names;Sex;Age;Height;Weight;Team;Sport;Event;Medal
Fernando Rubn Gago;M;22;176;143,3004703;Argentina;Football;Football Men's Football;Gold
Marco Galiazzo;M;25;178;216,0530168;Italy;Archery;Archery Men's Team;Silver
"Victoria ""Vicky"" Galindo";F;24;163;130,0727346;United States;Softball;Softball Women's Softball;Silver
Lyubov Vladimirovna Galkina;F;35;165;123,4588667;Russia;Shooting;Shooting Women's Air Rifle, 10 metres;Silver
John Christopher Gall;M;30;183;200,6206584;United States;Baseball;Baseball Men's Baseball;Bronze
Gleb Sergeyevich Galperin;M;25;175;149,9143382;Russia;Diving;Diving Men's Platform;Bronze
Gleb Sergeyevich Galperin;M;25;175;149,9143382;Russia;Diving;Diving Men's Synchronized Platform;Bronze
Rossano Galtarossa;M;36;200;224,8715072;Italy;Rowing;Rowing Men's Quadruple Sculls;Silver
Felicity Madeline Galvez;F;23;167;127,868112;Australia;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Gold
Felicity Madeline Galvez;F;23;167;127,868112;Australia;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Gang Min-Ho;M;22;185;216,0530168;South Korea;Baseball;Baseball Men's Baseball;Gold
Mark Daniel Gangloff;M;26;183;185,1883001;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
Gao Lihua;F;28;165;125,6634893;China;Hockey;Hockey Women's Hockey;Silver
Gao Yulan;F;24;182;165,3466965;China;Rowing;Rowing Women's Coxless Pairs;Silver
Rubn Garabaya Arenas;M;29;201;235,8946203;Spain;Handball;Handball Men's Handball;Bronze
Ezequiel Marcelo Garay Gonzlez;M;21;182;191,8021679;Argentina;Football;Football Men's Football;Gold
Jorge Joaqun Garbajosa Chaparro;M;30;204;235,8946203;Spain;Basketball;Basketball Men's Basketball;Silver
Juan Garca Lorenzana;M;30;176;165,3466965;Spain;Handball;Handball Men's Handball;Bronze
"Agustina Soledad ""Sole"" Garca";F;27;163;141,0958477;Argentina;Hockey;Hockey Women's Hockey;Bronze
"Gabriel Bryan ""Gabe"" Gardner";M;32;209;227,0761299;United States;Volleyball;Volleyball Men's Volleyball;Gold
Kerstin Garefrekes;F;28;180;143,3004703;Germany;Football;Football Women's Football;Bronze
Rodrigo Garza Barbero;M;28;182;167,5513191;Spain;Hockey;Hockey Men's Hockey;Silver
Marc Gasol Sez;M;23;213;268,9639596;Spain;Basketball;Basketball Men's Basketball;Silver
Pau Gasol Sez;M;28;215;253,5316013;Spain;Basketball;Basketball Men's Basketball;Silver
Anna Vitalyevna Gavrilenko;F;18;174;121,2542441;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Gold
Murad Zayrudinovich Gaydarov;M;28;176;163,1420739;Belarus;Wrestling;Wrestling Men's Middleweight, Freestyle;Bronze
Logi Eldon Geirsson;M;25;190;198,4160358;Iceland;Handball;Handball Men's Handball;Silver
Nataliya Nikolayevna Gelakh;F;30;190;187,3929227;Belarus;Rowing;Rowing Women's Coxless Pairs;Bronze
Bevan Christopher George;M;31;190;191,8021679;Australia;Hockey;Hockey Men's Hockey;Bronze
Elena Georgescu-Nedelcu;F;44;160;121,2542441;Romania;Rowing;Rowing Women's Coxed Eights;Bronze
Istvn Gergely;M;31;202;246,9177334;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Kim Gevaert;F;30;170;132,2773572;Belgium;Athletics;Athletics Women's 4 x 100 metres Relay;Silver
Jaouad Gharib;M;36;176;145,5050929;Morocco;Athletics;Athletics Men's Marathon;Silver
"Gilberto Amauri ""Giba"" de Godoy Filho";M;31;192;187,3929227;Brazil;Volleyball;Volleyball Men's Volleyball;Silver
Bertrand Fabien Gille;M;30;187;216,0530168;France;Handball;Handball Men's Handball;Gold
Christian Gille;M;32;184;202,825281;Germany;Canoeing;Canoeing Men's Canadian Doubles, 500 metres;Bronze
Christian Gille;M;32;184;202,825281;Germany;Canoeing;Canoeing Men's Canadian Doubles, 1,000 metres;Silver
Guillaume Alain Gille;M;32;192;213,8483941;France;Handball;Handball Men's Handball;Gold
Fabien Pierre Aurlien Dominique Gilot;M;24;193;187,3929227;France;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
Drew Cameron Ginn;M;33;195;187,3929227;Australia;Rowing;Rowing Men's Coxless Pairs;Gold
"Emanuel David ""Manu"" Ginbili Maccari";M;31;198;200,6206584;Argentina;Basketball;Basketball Men's Basketball;Bronze
Olivier Damien Girault;M;35;183;189,5975453;France;Handball;Handball Men's Handball;Gold
"Jonathan ""Joe"" Glanfield";M;29;183;154,3235834;Great Britain;Sailing;Sailing Men's Two Person Dinghy;Silver
"Kimberly Marie ""Kim"" Glass";F;23;190;165,3466965;United States;Volleyball;Volleyball Women's Volleyball;Silver
Go Yeong-Min;M;24;182;160,9374513;South Korea;Baseball;Baseball Men's Baseball;Gold
ivko Goci;M;25;193;205,0299037;Serbia;Water Polo;Water Polo Men's Water Polo;Bronze
Maartje Goderie;F;24;158;110,231131;Netherlands;Hockey;Hockey Women's Hockey;Gold
Taniele Gofers;F;23;183;176,3698096;Australia;Water Polo;Water Polo Women's Water Polo;Bronze
Giorgi Gogshelidze;M;28;185;211,6437715;Georgia;Wrestling;Wrestling Men's Heavyweight, Freestyle;Bronze
Vaeceslav Gojan;M;25;162;123,4588667;Moldova;Boxing;Boxing Men's Bantamweight;Bronze
Natalie Golda (-Benson);F;26;180;185,1883001;United States;Water Polo;Water Polo Women's Water Polo;Silver
Bjrn Goldschmidt;M;28;184;198,4160358;Germany;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Bronze
Anton Sergeyevich Golotsutskov;M;23;165;138,8912251;Russia;Gymnastics;Gymnastics Men's Floor Exercise;Bronze
Anton Sergeyevich Golotsutskov;M;23;165;138,8912251;Russia;Gymnastics;Gymnastics Men's Horse Vault;Bronze
Fernando Francisco Gonzlez Ciuffardi;M;28;182;180,7790548;Chile;Tennis;Tennis Men's Singles;Silver
Mariana Alejandra Gonzlez Oliva Gulla;F;32;158;110,231131;Argentina;Hockey;Hockey Women's Hockey;Bronze
Norberto Gonzlez Miranda;M;28;184;174,165187;Cuba;Baseball;Baseball Men's Baseball;Silver
Romn Javier Gonzlez;M;30;210;308,6471668;Argentina;Basketball;Basketball Men's Basketball;Bronze
Yoanka Gonzlez Prez;F;32;168;130,0727346;Cuba;Cycling;Cycling Women's Points Race;Silver
Anna Goodale;F;25;183;174,165187;United States;Rowing;Rowing Women's Coxed Eights;Gold
Paul Martin Goodison;M;30;180;171,9605644;Great Britain;Sailing;Sailing Men's One Person Dinghy;Gold
Tatyana Igorevna Gorbunova;F;18;176;138,8912251;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Gold
Westley Gough;M;20;185;171,9605644;New Zealand;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Bronze
Yulieski Gourriel Castillo;M;24;180;163,1420739;Cuba;Baseball;Baseball Men's Baseball;Silver
Mariya Aleksandrovna Grabovetskaya;F;21;180;249,1223561;Kazakhstan;Weightlifting;Weightlifting Women's Super-Heavyweight;Bronze
Katherine Jane Grainger;F;32;183;171,9605644;Great Britain;Rowing;Rowing Women's Quadruple Sculls;Silver
Margherita Granbassi;F;28;165;123,4588667;Italy;Fencing;Fencing Women's Foil, Individual;Bronze
Margherita Granbassi;F;28;165;123,4588667;Italy;Fencing;Fencing Women's Foil, Team;Bronze
Sergey Yuryevich Grankin;M;23;195;211,6437715;Russia;Volleyball;Volleyball Men's Volleyball;Bronze
"Dibora Monick Olga ""Deborah"" Gravenstijn";F;33;163;125,6634893;Netherlands;Judo;Judo Women's Lightweight;Silver
Alison Gregorka;F;23;178;160,9374513;United States;Water Polo;Water Polo Women's Water Polo;Silver
"Matthew ""Matt"" Grevers";M;23;203;231,4853751;United States;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
"Matthew ""Matt"" Grevers";M;23;203;231,4853751;United States;Swimming;Swimming Men's 100 metres Backstroke;Silver
"Matthew ""Matt"" Grevers";M;23;203;231,4853751;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
Andreea Florentina Grigore;F;17;146;85,98028218;Romania;Gymnastics;Gymnastics Women's Team All-Around;Bronze
Hollie Louise Grima (-Florance);F;24;190;185,1883001;Australia;Basketball;Basketball Women's Basketball;Silver
Alexander Grimm;M;21;188;194,0067906;Germany;Canoeing;Canoeing Men's Kayak Singles, Slalom;Gold
Kari Aalvik Grimsb;F;23;180;176,3698096;Norway;Handball;Handball Women's Handball;Gold
"Hindrik Harmannus Arnoldus ""Henk"" Grol";M;23;190;220,462262;Netherlands;Judo;Judo Men's Half-Heavyweight;Bronze
Mariya Igorevna Gromova;F;24;172;134,4819798;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
Gu Beibei;F;27;166;105,8218858;China;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
"Tatiana ""Tania"" Guderzo";F;23;160;121,2542441;Italy;Cycling;Cycling Women's Road Race, Individual;Bronze
Christophe Ren Marcel Gunot;M;29;178;163,1420739;France;Wrestling;Wrestling Men's Middleweight, Greco-Roman;Bronze
Steeve Franois Fabien Gunot;M;22;172;145,5050929;France;Wrestling;Wrestling Men's Welterweight, Greco-Roman;Gold
Steve Guerdat;M;26;182;154,3235834;Switzerland;Equestrianism;Equestrianism Mixed Jumping, Team;Bronze
Michelle Guerette;F;27;180;169,7559417;United States;Rowing;Rowing Women's Single Sculls;Silver
David Guest;M;26;177;165,3466965;Australia;Hockey;Hockey Men's Hockey;Bronze
Rianne Dorian Guichelaar;F;24;174;138,8912251;Netherlands;Water Polo;Water Polo Women's Water Polo;Gold
Michal Yves Robert Guigou;M;26;179;174,165187;France;Handball;Handball Men's Handball;Gold
Leandro Marques Guilheiro;M;24;176;178,5744322;Brazil;Judo;Judo Men's Lightweight;Bronze
Alejandra Laura Gulla;F;31;165;136,6866024;Argentina;Hockey;Hockey Women's Hockey;Bronze
Rbert Gunnarsson;M;28;190;220,462262;Iceland;Handball;Handball Men's Handball;Silver
Guo Dan;F;22;171;149,9143382;China;Archery;Archery Women's Team;Silver
Guo Jingjing;F;26;163;108,0265084;China;Diving;Diving Women's Springboard;Gold
Guo Jingjing;F;26;163;108,0265084;China;Diving;Diving Women's Synchronized Springboard;Gold
Guo Shuang;F;22;170;154,3235834;China;Cycling;Cycling Women's Sprint;Bronze
Guo Wenjun;F;24;168;132,2773572;China;Shooting;Shooting Women's Air Pistol, 10 metres;Gold
Guo Yue;F;20;165;119,0496215;China;Table Tennis;Table Tennis Women's Singles;Bronze
Guo Yue;F;20;165;119,0496215;China;Table Tennis;Table Tennis Women's Team;Gold
Yuliya Aleksandrovna Gushchina;F;25;174;134,4819798;Russia;Athletics;Athletics Women's 4 x 100 metres Relay;Gold
Yuliya Aleksandrovna Gushchina;F;25;174;134,4819798;Russia;Athletics;Athletics Women's 4 x 400 metres Relay;Silver
Gustavo Endres;M;32;203;216,0530168;Brazil;Volleyball;Volleyball Men's Volleyball;Silver
Bjrgvin Pll Gustavsson;M;23;192;198,4160358;Iceland;Handball;Handball Men's Handball;Silver
Juan Pedro Gutirrez Llanas;M;24;204;246,9177334;Argentina;Basketball;Basketball Men's Basketball;Bronze
Leonardo Martn Gutirrez;M;30;200;231,4853751;Argentina;Basketball;Basketball Men's Basketball;Bronze
Snorri Steinn Gujnsson;M;26;187;189,5975453;Iceland;Handball;Handball Men's Handball;Silver
Hreiar Lev Gumundsson;M;27;193;211,6437715;Iceland;Handball;Handball Men's Handball;Silver
Gwon Hyeok;M;24;187;198,4160358;South Korea;Baseball;Baseball Men's Baseball;Gold
Kate Gynther;F;26;175;160,9374513;Australia;Water Polo;Water Polo Women's Water Polo;Bronze
Grant George Hackett;M;28;198;211,6437715;Australia;Swimming;Swimming Men's 1,500 metres Freestyle;Silver
Grant George Hackett;M;28;198;211,6437715;Australia;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Bronze
Soraya Haddad;F;23;155;114,6403762;Algeria;Judo;Judo Women's Half-Lightweight;Bronze
"Joseph ""Joey"" Hagerty";M;26;163;134,4819798;United States;Gymnastics;Gymnastics Men's Team All-Around;Bronze
Biurakn Hakhverdian;F;22;172;143,3004703;Netherlands;Water Polo;Water Polo Women's Water Polo;Gold
Henri Hkkinen;M;28;189;189,5975453;Finland;Shooting;Shooting Men's Air Rifle, 10 metres;Bronze
Thomas Hall;M;26;182;180,7790548;Canada;Canoeing;Canoeing Men's Canadian Singles, 1,000 metres;Bronze
sgeir rn Hallgrmsson;M;24;191;202,825281;Iceland;Handball;Handball Men's Handball;Silver
Kyoko Hamaguchi;F;30;170;158,7328286;Japan;Wrestling;Wrestling Women's Heavyweight, Freestyle;Bronze
Fabian Hambchen;M;20;164;136,6866024;Germany;Gymnastics;Gymnastics Men's Horizontal Bar;Bronze
Kyle Hamilton;M;30;199;211,6437715;Canada;Rowing;Rowing Men's Coxed Eights;Gold
Gro Hammerseng (-Hammerseng-Edin);F;28;180;149,9143382;Norway;Handball;Handball Women's Handball;Gold
"Rebecca Lynn ""Becky"" Hammon";F;31;168;136,6866024;Russia;Basketball;Basketball Women's Basketball;Bronze
"Robert Rodney ""Rob"" Hammond";M;27;176;165,3466965;Australia;Hockey;Hockey Men's Hockey;Bronze
Han Gi-Ju;M;21;186;198,4160358;South Korea;Baseball;Baseball Men's Baseball;Gold
Hanati Silamu;M;23;179;152,1189608;China;Boxing;Boxing Men's Welterweight;Bronze
Vincent Hancock;M;19;173;176,3698096;United States;Shooting;Shooting Men's Skeet;Gold
Tayyiba Mumtaz Haneef-Park;F;29;200;180,7790548;United States;Volleyball;Volleyball Women's Volleyball;Silver
Brendan Joseph Hansen;M;26;183;187,3929227;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
Kevin Christopher Hansen;M;26;196;205,0299037;United States;Volleyball;Volleyball Men's Volleyball;Gold
Saho Harada;F;25;166;123,4588667;Japan;Synchronized Swimming;Synchronized Swimming Women's Duet;Bronze
Katrine Lunde Haraldsen;F;28;181;;Norway;Handball;Handball Women's Handball;Gold
Kelly Hardie;F;38;182;176,3698096;Australia;Softball;Softball Women's Softball;Bronze
Tanya Victoria Harding;F;36;172;158,7328286;Australia;Softball;Softball Women's Softball;Bronze
Dawn Harper (-Everhart, -Nelson);F;24;168;134,4819798;United States;Athletics;Athletics Women's 100 metres Hurdles;Gold
Kristi Lee Harrower;F;33;162;138,8912251;Australia;Basketball;Basketball Women's Basketball;Silver
Natasha Monique Hastings;F;22;173;149,9143382;United States;Athletics;Athletics Women's 4 x 400 metres Relay;Gold
Tobias Constantin Hauke;M;20;183;178,5744322;Germany;Hockey;Hockey Men's Hockey;Gold
Patrick Hausding;M;19;180;169,7559417;Germany;Diving;Diving Men's Synchronized Platform;Silver
Brittany Hayes;F;23;170;158,7328286;United States;Water Polo;Water Polo Women's Water Polo;Silver
He Chong;M;21;169;152,1189608;China;Diving;Diving Men's Springboard;Gold
He Hanbin;M;22;180;176,3698096;China-1;Badminton;Badminton Mixed Doubles;Bronze
He Kexin;F;16;142;72,75254646;China;Gymnastics;Gymnastics Women's Team All-Around;Gold
He Kexin;F;16;142;72,75254646;China;Gymnastics;Gymnastics Women's Uneven Bars;Gold
He Wenna;F;19;160;110,231131;China;Trampolining;Trampolining Women's Individual;Gold
Tobin Powell Heath;F;20;168;130,0727346;United States;Football;Football Women's Football;Gold
Alastair Heathcote;M;30;191;202,825281;Great Britain;Rowing;Rowing Men's Coxed Eights;Silver
"Frederike Johanna Maria ""Femke"" Heemskerk";F;20;180;149,9143382;Netherlands;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Gold
Francis Hegerty;M;25;187;209,4391489;Australia;Rowing;Rowing Men's Coxless Fours;Silver
Britta Heidemann;F;25;180;154,3235834;Germany;Fencing;Fencing Women's epee, Individual;Gold
Lars Andreas Helgstrand;M;30;183;147,7097155;Don Schufro;Equestrianism;Equestrianism Mixed Dressage, Team;Bronze
Tia Hellebaut (Van Haver-);F;30;182;136,6866024;Belgium;Athletics;Athletics Women's High Jump;Gold
Andr Heller;M;32;199;205,0299037;Brazil;Volleyball;Volleyball Men's Volleyball;Silver
Monique Marie Henderson;F;25;170;119,0496215;United States;Athletics;Athletics Women's 4 x 400 metres Relay;Gold
Thais Henrquez Torres;F;25;185;152,1189608;Spain;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
"Gillian ""Jill"" Henselwood";F;45;168;123,4588667;Canada;Equestrianism;Equestrianism Mixed Jumping, Team;Silver
Heo Sun-Yeong;F;32;180;156,528206;South Korea;Handball;Handball Women's Handball;Bronze
Anaisis Hernndez Sarria;F;26;170;138,8912251;Cuba;Judo;Judo Women's Middleweight;Silver
"Mara de la Paz ""Maripi"" Hernndez Margalot";F;31;163;125,6634893;Argentina;Hockey;Hockey Women's Hockey;Bronze
Yampier Hernndez Gonzales;M;23;165;105,8218858;Cuba;Boxing;Boxing Men's Light-Flyweight;Bronze
Anderson Hernanes de Carvalho Andrade Lima;M;23;180;167,5513191;Brazil;Football;Football Men's Football;Bronze
"Michael Steven ""Mike"" Hessman";M;30;196;235,8946203;United States;Baseball;Baseball Men's Baseball;Bronze
Amy Hetzel;F;25;178;143,3004703;Australia;Water Polo;Water Polo Women's Water Polo;Bronze
Emilie-Joane Heymans;F;26;170;136,6866024;Canada;Diving;Diving Women's Platform;Silver
Ariane Hingst;F;29;170;136,6866024;Germany;Football;Football Women's Football;Bronze
Jaime Elizabeth Hipp (-Komer);F;26;183;160,9374513;United States;Water Polo;Water Polo Women's Water Polo;Silver
Megu Hirose;F;27;157;138,8912251;Japan;Softball;Softball Women's Softball;Gold
V'iacheslav Valeriyovych Hlazkov;M;23;189;213,8483941;Ukraine;Boxing;Boxing Men's Super-Heavyweight;Bronze
Hong Anh Tun;M;23;152;123,4588667;Vietnam;Weightlifting;Weightlifting Men's Bantamweight;Silver
Pavol Hochschorner;M;28;176;165,3466965;Slovakia;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Gold
Peter Hochschorner;M;28;188;180,7790548;Slovakia;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Gold
Margaret Josephine Hoelzer;F;25;180;174,165187;United States;Swimming;Swimming Women's 100 metres Backstroke;Bronze
Margaret Josephine Hoelzer;F;25;180;174,165187;United States;Swimming;Swimming Women's 200 metres Backstroke;Silver
Margaret Josephine Hoelzer;F;25;180;174,165187;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
"Kathryn Elise ""Katie"" Hoff (-Anderson)";F;19;175;141,0958477;United States;Swimming;Swimming Women's 400 metres Freestyle;Silver
"Kathryn Elise ""Katie"" Hoff (-Anderson)";F;19;175;141,0958477;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
"Kathryn Elise ""Katie"" Hoff (-Anderson)";F;19;175;141,0958477;United States;Swimming;Swimming Women's 400 metres Individual Medley;Bronze
"Thomas John ""Tom"" Hoff";M;35;198;207,2345263;United States;Volleyball;Volleyball Men's Volleyball;Gold
Martin Hollstein;M;21;192;198,4160358;Germany;Canoeing;Canoeing Men's Kayak Doubles, 1,000 metres;Gold
Jos Javier Hombrados Ibez;M;36;197;216,0530168;Spain;Handball;Handball Men's Handball;Bronze
Hong Jeong-Ho;F;34;178;158,7328286;South Korea;Handball;Handball Women's Handball;Bronze
Hong Un-Jong;F;19;156;103,6172631;North Korea;Gymnastics;Gymnastics Women's Horse Vault;Gold
Roman Volodymyrovych Hontiuk;M;24;178;178,5744322;Ukraine;Judo;Judo Men's Half-Middleweight;Bronze
Ellen Marijn Hoog;F;22;164;119,0496215;Netherlands;Hockey;Hockey Women's Hockey;Gold
"Steven Leslie ""Steve"" Hooker";M;26;187;180,7790548;Australia;Athletics;Athletics Men's Pole Vault;Gold
Beau Hoopman;M;27;193;200,6206584;United States;Rowing;Rowing Men's Coxed Eights;Bronze
Jonathan Alan Horton;M;22;155;130,0727346;United States;Gymnastics;Gymnastics Men's Team All-Around;Bronze
Jonathan Alan Horton;M;22;155;130,0727346;United States;Gymnastics;Gymnastics Men's Horizontal Bar;Silver
Norbert Hosnynszky;M;24;196;222,6668846;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Frances Julia Houghton;F;27;193;176,3698096;Great Britain;Rowing;Rowing Women's Quadruple Sculls;Silver
Ruben Houkes;M;29;176;132,2773572;Netherlands;Judo;Judo Men's Extra-Lightweight;Bronze
Wendy Louise Houvenaghel (McClean-);F;33;178;132,2773572;Great Britain;Cycling;Cycling Women's Individual Pursuit, 3,000 metres;Silver
Dwight David Howard;M;22;211;264,5547144;United States;Basketball;Basketball Men's Basketball;Gold
Malcolm Howard;M;25;200;220,462262;Canada;Rowing;Rowing Men's Coxed Eights;Gold
"Christopher Andrew ""Chris"" Hoy";M;32;185;205,0299037;Great Britain;Cycling;Cycling Men's Sprint;Gold
"Christopher Andrew ""Chris"" Hoy";M;32;185;205,0299037;Great Britain;Cycling;Cycling Men's Keirin;Gold
"Christopher Andrew ""Chris"" Hoy";M;32;185;205,0299037;Great Britain;Cycling;Cycling Men's Team Sprint;Gold
Hu Binyuan;M;30;180;165,3466965;China;Shooting;Shooting Men's Double Trap;Bronze
Huang Haiyang;F;22;170;123,4588667;China;Fencing;Fencing Women's Sabre, Team;Silver
Huang Junxia;F;32;164;123,4588667;China;Hockey;Hockey Women's Hockey;Silver
Huang Xu;M;29;162;130,0727346;China;Gymnastics;Gymnastics Men's Team All-Around;Gold
Huang Xuechen;F;18;175;134,4819798;China;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Angela Khalia Hucles;F;30;170;138,8912251;United States;Football;Football Women's Football;Gold
Peter Hudnut;M;28;196;231,4853751;United States;Water Polo;Water Polo Men's Water Polo;Silver
Sharon Ann Hunt;F;30;180;138,8912251;Great Britain;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Bronze
Mark John Hunter;M;30;181;163,1420739;Great Britain;Rowing;Rowing Men's Lightweight Double Sculls;Gold
Huo Liang;M;18;155;110,231131;China;Diving;Diving Men's Synchronized Platform;Gold
Christiane Huth;F;27;177;158,7328286;Germany;Rowing;Rowing Women's Double Sculls;Silver
"Timothy Julien ""Tim"" Hutten";M;23;196;216,0530168;United States;Water Polo;Water Polo Men's Water Polo;Silver
Carol Huynh;F;27;154;105,8218858;Canada;Wrestling;Wrestling Women's Flyweight, Freestyle;Gold
Hwang Gyeong-Seon;F;22;175;147,7097155;South Korea;Taekwondo;Taekwondo Women's Welterweight;Gold
Hwang Ji-Man;M;24;176;156,528206;South Korea-1;Badminton;Badminton Men's Doubles;Bronze
Chiharu Icho;F;26;157;105,8218858;Japan;Wrestling;Wrestling Women's Flyweight, Freestyle;Silver
Kaori Icho;F;24;166;134,4819798;Japan;Wrestling;Wrestling Women's Middleweight, Freestyle;Gold
Josefa Idem-Guerrini;F;43;176;147,7097155;Italy;Canoeing;Canoeing Women's Kayak Singles, 500 metres;Silver
Ene Franca Idoko (-Isaac);F;23;162;141,0958477;Nigeria;Athletics;Athletics Women's 4 x 100 metres Relay;Bronze
Phillips Olaosebikan Idowu;M;29;197;196,2114132;Great Britain;Athletics;Athletics Men's Triple Jump;Silver
Roniel Iglesias Sotolongo;M;19;177;141,0958477;Cuba;Boxing;Boxing Men's Light-Welterweight;Bronze
Doina Ignat;F;39;181;178,5744322;Romania;Rowing;Rowing Women's Coxed Eights;Bronze
Mikhail Borisovich Ignatyev;M;23;176;147,7097155;Russia;Cycling;Cycling Men's Madison;Bronze
Andreas Ihle;M;29;184;176,3698096;Germany;Canoeing;Canoeing Men's Kayak Doubles, 1,000 metres;Gold
"Larissa Dmitriyevna ""Lara"" Ilchenko";F;19;171;127,868112;Russia;Swimming;Swimming Women's 10 kilometres Open Water;Gold
"Ilson Pereira ""Ilsinho"" Dias Jnior";M;22;170;154,3235834;Brazil;Football;Football Men's Football;Bronze
Ilya Aleksandrovich Ilyin;M;20;175;207,2345263;Kazakhstan;Weightlifting;Weightlifting Men's Middle-Heavyweight;Gold
Im Dong-Hyeon;M;23;184;220,462262;South Korea;Archery;Archery Men's Team;Gold
Im Su-Jeong;F;21;168;125,6634893;South Korea;Taekwondo;Taekwondo Women's Featherweight;Gold
ahin mranov;M;27;170;125,6634893;Azerbaijan;Boxing;Boxing Men's Featherweight;Bronze
Ingimundur Ingimundarson;M;28;193;211,6437715;Iceland;Handball;Handball Men's Handball;Silver
"Joshua ""Josh"" Inman";M;28;203;209,4391489;United States;Rowing;Rowing Men's Coxed Eights;Bronze
Emi Inui;F;24;170;154,3235834;Japan;Softball;Softball Women's Softball;Gold
Eko Yuli Irawan;M;19;154;136,6866024;Indonesia;Weightlifting;Weightlifting Men's Bantamweight;Bronze
Promise Isaac;M;20;178;174,165187;Nigeria;Football;Football Men's Football;Silver
Vladimir Vyacheslavovich Isakov;M;38;178;182,9836775;Russia;Shooting;Shooting Men's Free Pistol, 50 metres;Bronze
Sara Isakovi;F;20;173;132,2773572;Slovenia;Swimming;Swimming Women's 200 metres Freestyle;Silver
Nataliya Sergeyevna Ishchenko;F;22;177;132,2773572;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
Satoshi Ishii;M;21;180;244,7131108;Japan;Judo;Judo Men's Heavyweight;Gold
Yelena Gadzhiyevna Isinbayeva;F;26;174;141,0958477;Russia;Athletics;Athletics Women's Pole Vault;Gold
Ismail Ahmed Ismail;M;23;193;158,7328286;Sudan;Athletics;Athletics Men's 800 metres;Silver
Halimat Oyinoza Ismaila;F;24;158;123,4588667;Nigeria;Athletics;Athletics Women's 4 x 100 metres Relay;Bronze
Sachiko Ito;F;32;163;134,4819798;Japan;Softball;Softball Women's Softball;Gold
Anastasiya Vladimirovna Ivankova;F;16;170;116,8449989;Belarus;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
Sandra Raluca Izbaa;F;18;164;114,6403762;Romania;Gymnastics;Gymnastics Women's Team All-Around;Bronze
Sandra Raluca Izbaa;F;18;164;114,6403762;Romania;Gymnastics;Gymnastics Women's Floor Exercise;Gold
"Danila Sergeyevich ""Dan"" Izotov";M;16;192;198,4160358;Russia;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
Ja Dong-Min;M;21;190;200,6206584;South Korea;Taekwondo;Taekwondo Men's Heavyweight;Gold
Jri Jaanson;M;42;192;211,6437715;Estonia;Rowing;Rowing Men's Double Sculls;Silver
Bershawn D. Jackson;M;25;173;152,1189608;United States;Athletics;Athletics Men's 400 metres Hurdles;Bronze
"Joanne Amy ""Jo"" Jackson";F;21;184;167,5513191;Great Britain;Swimming;Swimming Women's 400 metres Freestyle;Bronze
Lauren Elizabeth Jackson;F;27;196;187,3929227;Australia;Basketball;Basketball Women's Basketball;Silver
Sada Molly Jacobson (-Bby);F;25;170;154,3235834;United States;Fencing;Fencing Women's Sabre, Individual;Silver
Sada Molly Jacobson (-Bby);F;25;170;154,3235834;United States;Fencing;Fencing Women's Sabre, Team;Bronze
Sverre Andreas Jakobsson;M;31;196;213,8483941;Iceland;Handball;Handball Men's Handball;Silver
LeBron Raymone James;M;23;203;251,3269787;United States;Basketball;Basketball Men's Basketball;Gold
Monday James;M;21;180;154,3235834;Nigeria;Football;Football Men's Football;Silver
"Thomas Watkin ""Tom"" James";M;24;193;205,0299037;Great Britain;Rowing;Rowing Men's Coxless Fours;Gold
Jang Mi-Ran;F;24;170;260,1454692;South Korea;Weightlifting;Weightlifting Women's Super-Heavyweight;Gold
Jang Won-Sam;M;25;181;171,9605644;South Korea;Baseball;Baseball Men's Baseball;Gold
"Jaqueline Maria ""Jaque"" Pereira de Carvalho Endres";F;24;186;156,528206;Brazil;Volleyball;Volleyball Women's Volleyball;Gold
