Name;Sex;Age_year;Height_cm;Weight_lbs;Country;Sport;Event;Medal
Roman Sergeyevich Anoshkin;M;28;192;209,4391489;Russia;Canoeing;Canoeing Men's Kayak Singles, 1,000 metres;Bronze
Giselle Anne Ansley;F;24;176;160,9374513;Great Britain;Hockey;Hockey Women's Hockey;Gold
Carmelo Kyan Anthony;M;32;203;240,3038656;United States;Basketball;Basketball Men's Basketball;Gold
Oleg Antonov;M;28;198;194,0067906;Italy;Volleyball;Volleyball Men's Volleyball;Silver
Emilia Elisabeth Appelqvist;F;26;168;143,3004703;Sweden;Football;Football Women's Football;Silver
Hirooki Arai;M;28;180;136,6866024;Japan;Athletics;Athletics Men's 50 kilometres Walk;Bronze
Katie Louise Archibald;F;22;178;154,3235834;Great Britain;Cycling;Cycling Women's Team Pursuit;Gold
Joahnys Oscar Argilagos Prez;M;19;152;108,0265084;Cuba;Boxing;Boxing Men's Light-Flyweight;Bronze
William Peixoto Arjona;M;37;186;171,9605644;Brazil;Volleyball;Volleyball Men's Volleyball;Gold
Kristin Ann Armstrong (-Savola);F;42;173;127,868112;United States;Cycling;Cycling Women's Individual Time Trial;Gold
Emilie Hegh Arntzen;F;22;183;171,9605644;Norway;Handball;Handball Women's Handball;Bronze
Migran Arutyunyan;M;27;166;147,7097155;Armenia;Wrestling;Wrestling Men's Welterweight, Greco-Roman;Silver
"Geraldina Rachel ""Dina"" Asher-Smith";F;20;164;121,2542441;Great Britain;Athletics;Athletics Women's 4 x 100 metres Relay;Bronze
Nickel Ashmeade;M;26;183;169,7559417;Jamaica;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
Jessica Ashwood;F;23;173;141,0958477;Australia;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Silver
"Kosovare ""Kosse"" Asllani";F;27;166;123,4588667;Sweden;Football;Football Women's Football;Silver
Sandra Auffarth;F;29;170;125,6634893;Germany;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Silver
Seimone Delicia Augustus;F;32;183;163,1420739;United States;Basketball;Basketball Women's Basketball;Gold
Mohd Azizulhasni Awang;M;28;166;152,1189608;Malaysia;Cycling;Cycling Men's Keirin;Bronze
Viktor Axelsen;M;22;194;194,0067906;Denmark;Badminton;Badminton Men's Singles;Bronze
Almaz Ayana Eba;F;24;166;103,6172631;Ethiopia;Athletics;Athletics Women's 5,000 metres;Bronze
Almaz Ayana Eba;F;24;166;103,6172631;Ethiopia;Athletics;Athletics Women's 10,000 metres;Gold
Camille Anas Ayglon-Saurina;F;31;180;145,5050929;France;Handball;Handball Women's Handball;Silver
Jrmie Azou;M;27;178;156,528206;France;Rowing;Rowing Men's Lightweight Double Sculls;Gold
Okechukwu Godson Azubuike;M;19;170;149,9143382;Nigeria;Football;Football Men's Football;Bronze
Diana Bacosi;F;33;175;187,3929227;Italy;Shooting;Shooting Women's Skeet;Gold
Timea Bacsinszky;F;27;170;136,6866024;Switzerland;Tennis;Tennis Women's Doubles;Silver
Kemar Bailey-Cole;M;24;193;185,1883001;Jamaica;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
Kathleen Baker;F;19;173;149,9143382;United States;Swimming;Swimming Women's 100 metres Backstroke;Silver
Kathleen Baker;F;19;173;149,9143382;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Mashu Baker;M;21;178;198,4160358;Japan;Judo;Judo Men's Middleweight;Gold
Shakira Baker;F;24;172;196,2114132;New Zealand;Rugby Sevens;Rugby Sevens Women's Rugby Sevens;Silver
Dmitry Igorevich Balandin;M;21;195;187,3929227;Kazakhstan;Swimming;Swimming Men's 200 metres Breaststroke;Gold
Kayla Banwarth;F;27;178;154,3235834;United States;Volleyball;Volleyball Women's Volleyball;Bronze
Carina Br;F;26;185;165,3466965;Germany;Rowing;Rowing Women's Quadruple Sculls;Gold
Brbara Seixas de Freitas;F;29;178;147,7097155;Brazil-1;Beach Volleyball;Beach Volleyball Women's Beach Volleyball;Silver
Elinor Jane Barker;F;21;168;123,4588667;Great Britain;Cycling;Cycling Women's Team Pursuit;Gold
Harrison Bryce Jordan Barnes;M;24;203;224,8715072;United States;Basketball;Basketball Men's Basketball;Gold
