Name;Sex;Age_year;Height_cm;Weight_lbs;Country;Sport;Event;Medal
"Jessica Jane ""Jess"" Eddie";F;31;178;165,3466965;Great Britain;Rowing;Rowing Women's Coxed Eights;Silver
der Francis Carbonera;M;32;205;235,8946203;Brazil;Volleyball;Volleyball Men's Volleyball;Gold
"Alexander ""Alex"" Edmondson";M;22;184;167,5513191;Australia;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Silver
Batrice Edwige;F;27;182;167,5513191;France;Handball;Handball Women's Handball;Silver
Naito Ehara;M;23;172;130,0727346;Japan;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Bronze
Stefaniya Aleksandrovna Elfutina;F;19;170;130,0727346;Russia;Sailing;Sailing Women's Windsurfer;Bronze
Marcus John Ellis;M;26;175;176,3698096;Great Britain;Badminton;Badminton Men's Doubles;Bronze
Taylor Ellis-Watson;F;23;183;143,3004703;United States;Athletics;Athletics Women's 4 x 400 metres Relay;Gold
Brady Lee Ellison;M;27;181;189,5975453;United States;Archery;Archery Men's Individual;Bronze
Brady Lee Ellison;M;27;181;189,5975453;United States;Archery;Archery Men's Team;Silver
Amanda Elmore;F;25;180;176,3698096;United States;Rowing;Rowing Women's Coxed Eights;Gold
Brittany Joyce Elmslie;F;22;179;160,9374513;Australia;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Gold
Brittany Joyce Elmslie;F;22;179;160,9374513;Australia;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Giulia Enrica Emmolo;F;24;171;147,7097155;Italy;Water Polo;Water Polo Women's Water Polo;Silver
Tnu Endrekson;M;37;198;229,2807525;Estonia;Rowing;Rowing Men's Quadruple Sculls;Bronze
Jessica Phyllis Ennis-Hill;F;30;165;125,6634893;Great Britain;Athletics;Athletics Women's Heptathlon;Silver
"Magdalena ""Magda"" Eriksson";F;22;172;145,5050929;Sweden;Football;Football Women's Football;Silver
Saturday Keigo Erimuya;M;18;171;;Nigeria;Football;Football Men's Football;Bronze
Anthony Lee Ervin;M;35;191;176,3698096;United States;Swimming;Swimming Men's 50 metres Freestyle;Gold
Anthony Lee Ervin;M;35;191;176,3698096;United States;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
"Srgio ""Escadinha"" Dutra dos Santos";M;40;184;171,9605644;Brazil;Volleyball;Volleyball Men's Volleyball;Gold
Mara del Rosario Espinoza Espinoza;F;28;173;154,3235834;Mexico;Taekwondo;Taekwondo Women's Heavyweight;Silver
Chloe Esposito;F;24;168;121,2542441;Australia;Modern Pentathlon;Modern Pentathlon Women's Individual;Gold
Oghenekaro Peter Etebo;M;20;172;156,528206;Nigeria;Football;Football Men's Football;Bronze
Gemma Etheridge;F;29;169;145,5050929;Australia;Rugby Sevens;Rugby Sevens Women's Rugby Sevens;Gold
Imoh Ezekiel;M;22;171;176,3698096;Nigeria;Football;Football Men's Football;Bronze
Ludovic Fabregas;M;20;198;220,462262;France;Handball;Handball Men's Handball;Silver
Simone Facey;F;31;162;116,8449989;Jamaica;Athletics;Athletics Women's 4 x 100 metres Relay;Silver
Fan Yilin;F;16;148;81,57103694;China;Gymnastics;Gymnastics Women's Team All-Around;Bronze
ime Fantela;M;30;183;147,7097155;Croatia;Sailing;Sailing Men's Two Person Dinghy;Gold
"Mohamed Muktar Jama ""Mo"" Farah";M;33;175;127,868112;Great Britain;Athletics;Athletics Men's 5,000 metres;Gold
"Mohamed Muktar Jama ""Mo"" Farah";M;33;175;127,868112;Great Britain;Athletics;Athletics Men's 10,000 metres;Gold
Bianca Farella;F;24;173;160,9374513;Canada;Rugby Sevens;Rugby Sevens Women's Rugby Sevens;Bronze
Kent Farrington;M;35;173;145,5050929;United States;Equestrianism;Equestrianism Mixed Jumping, Team;Silver
Steffen Fth;M;26;199;213,8483941;Germany;Handball;Handball Men's Handball;Bronze
Rachel Fattal;F;22;173;143,3004703;United States;Water Polo;Water Polo Women's Water Polo;Gold
Krisztina Fazekas Zur;F;36;172;141,0958477;Hungary;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Gold
"James ""Jimmy"" Feigen";M;26;196;216,0530168;United States;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
Felipe Anderson Perieira Gomes;M;23;178;145,5050929;Brazil;Football;Football Men's Football;Gold
Allyson Michelle Felix;F;30;168;123,4588667;United States;Athletics;Athletics Women's 400 metres;Silver
Allyson Michelle Felix;F;30;168;123,4588667;United States;Athletics;Athletics Women's 4 x 100 metres Relay;Gold
Allyson Michelle Felix;F;30;168;123,4588667;United States;Athletics;Athletics Women's 4 x 400 metres Relay;Gold
Feng Shanshan;F;26;170;187,3929227;China;Golf;Golf Women's Individual;Bronze
"Rodolfo ""Rudy"" Fernndez Farrs";M;31;196;185,1883001;Spain;Basketball;Basketball Men's Basketball;Bronze
Rossella Fiamingo;F;25;167;110,231131;Italy;Fencing;Fencing Women's epee, Individual;Silver
Marco Fichera;M;22;180;163,1420739;Italy;Fencing;Fencing Men's epee, Team;Silver
Connor Evan Fields;M;23;183;194,0067906;United States;Cycling;Cycling Men's BMX;Gold
Pietro Figlioli;M;32;191;216,0530168;Italy;Water Polo;Water Polo Men's Water Polo;Bronze
scar Albeyro Figueroa Mosquera;M;33;159;136,6866024;Colombia;Weightlifting;Weightlifting Men's Featherweight;Gold
Roseline Filion;F;29;152;114,6403762;Canada;Diving;Diving Women's Synchronized Platform;Bronze
Filip Filipovi;M;29;196;222,6668846;Serbia;Water Polo;Water Polo Men's Water Polo;Gold
Yoel Segundo Finol Rivas;M;19;168;114,6403762;Venezuela;Boxing;Boxing Men's Flyweight;Bronze
Aria Fischer;F;17;183;171,9605644;United States;Water Polo;Water Polo Women's Water Polo;Gold
Makenzie Fischer;F;19;186;163,1420739;United States;Water Polo;Water Polo Women's Water Polo;Gold
sa Nilla Maria Fischer;F;32;176;149,9143382;Sweden;Football;Football Women's Football;Silver
Theresa Matauaina Fitzpatrick;F;21;168;165,3466965;New Zealand;Rugby Sevens;Rugby Sevens Women's Rugby Sevens;Silver
Jessie Alexandra Fleming;F;18;164;121,2542441;Canada;Football;Football Women's Football;Bronze
David Florence;M;33;188;167,5513191;Great Britain;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Silver
Casper Michael von Folsach;M;23;191;180,7790548;Denmark;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Bronze
Andrea Fondelli;M;22;190;211,6437715;Italy;Water Polo;Water Polo Men's Water Polo;Bronze
Nouchka Fontijn;F;28;180;165,3466965;Netherlands;Boxing;Boxing Women's Middleweight;Silver
Shashalee Forbes;F;20;160;121,2542441;Jamaica;Athletics;Athletics Women's 4 x 100 metres Relay;Silver
Karsten Forsterling;M;36;191;194,0067906;Australia;Rowing;Rowing Men's Quadruple Sculls;Silver
Sylvia Shaqueria Fowles;F;30;198;198,4160358;United States;Basketball;Basketball Women's Basketball;Gold
"Jessica Esther ""Jess"" Fox";F;22;166;132,2773572;Australia;Canoeing;Canoeing Women's Kayak Singles, Slalom;Bronze
Marit Malm Frafjord;F;30;182;171,9605644;Norway;Handball;Handball Women's Handball;Bronze
Javon Francis;M;21;183;149,9143382;Jamaica;Athletics;Athletics Men's 4 x 400 metres Relay;Silver
Phyllis Chanez Francis;F;24;180;158,7328286;United States;Athletics;Athletics Women's 4 x 400 metres Relay;Gold
Tanja Chiara Frank;F;23;167;125,6634893;Austria;Sailing;Sailing Mixed Multihull;Bronze
"Melissa Jeanette ""Missy"" Franklin";F;21;188;169,7559417;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Gold
Anna Jenny Eva Maria Fransson (Magnusson-);F;29;169;160,9374513;Sweden;Wrestling;Wrestling Women's Light-Heavyweight, Freestyle;Bronze
Shelly-Ann Fraser-Pryce;F;29;160;125,6634893;Jamaica;Athletics;Athletics Women's 100 metres;Bronze
Shelly-Ann Fraser-Pryce;F;29;160;125,6634893;Jamaica;Athletics;Athletics Women's 4 x 100 metres Relay;Silver
Teresa Frassinetti;F;30;178;165,3466965;Italy;Water Polo;Water Polo Women's Water Polo;Silver
Carl Peder Fredricson;M;44;189;176,3698096;Sweden;Equestrianism;Equestrianism Mixed Jumping, Individual;Silver
"Christopher Clive ""Chris"" Froome";M;31;185;152,1189608;Great Britain;Cycling;Cycling Men's Individual Time Trial;Bronze
Fu Haifeng;M;32;181;171,9605644;China-1;Badminton;Badminton Men's Doubles;Gold
Fu Yuanhui;F;20;179;138,8912251;China;Swimming;Swimming Women's 100 metres Backstroke;Bronze
Florian Fuchs;M;24;185;163,1420739;Germany;Hockey;Hockey Men's Hockey;Bronze
Jakob Diemer Fuglsang;M;31;183;152,1189608;Denmark;Cycling;Cycling Men's Road Race, Individual;Silver
Ai Fukuhara;F;27;156;105,8218858;Japan;Table Tennis;Table Tennis Women's Team;Bronze
Magdalena Fularczyk-Kozowska;F;29;173;154,3235834;Poland;Rowing;Rowing Women's Double Sculls;Gold
Moritz Frste;M;31;190;196,2114132;Germany;Hockey;Hockey Men's Hockey;Bronze
Gabriel Barbosa Almeida;M;19;178;149,9143382;Brazil;Football;Football Men's Football;Gold
Gabriel Fernando de Jesus;M;19;175;149,9143382;Brazil;Football;Football Men's Football;Gold
Otgontsetseg Galbadrakhyn;F;24;170;138,8912251;Kazakhstan;Judo;Judo Women's Extra-Lightweight;Bronze
Valentino Gallo;M;31;192;209,4391489;Italy;Water Polo;Water Polo Men's Water Polo;Bronze
"Jacqueline ""Jackie"" Galloway";F;20;178;176,3698096;United States;Taekwondo;Taekwondo Women's Heavyweight;Bronze
Dzhavid Shakirovich Gamzatov;M;26;176;200,6206584;Belarus;Wrestling;Wrestling Men's Light-Heavyweight, Greco-Roman;Bronze
Gao Lei;M;24;170;141,0958477;China;Trampolining;Trampolining Men's Individual;Bronze
Xavier Garca Gadea;M;32;198;202,825281;Croatia;Water Polo;Water Polo Men's Water Polo;Silver
Steven Gardiner;M;20;193;207,2345263;Bahamas;Athletics;Athletics Men's 4 x 400 metres Relay;Bronze
English Gardner;F;24;168;121,2542441;United States;Athletics;Athletics Women's 4 x 100 metres Relay;Gold
Denis Gargaud Chanut;M;29;181;167,5513191;France;Canoeing;Canoeing Men's Canadian Singles, Slalom;Gold
Arianna Garibotti;F;26;169;141,0958477;Italy;Water Polo;Water Polo Women's Water Polo;Silver
Daniele Garozzo;M;23;177;143,3004703;Italy;Fencing;Fencing Men's Foil, Individual;Gold
Enrico Garozzo;M;27;190;154,3235834;Italy;Fencing;Fencing Men's epee, Team;Silver
Zach Garrett;M;21;178;141,0958477;United States;Archery;Archery Men's Team;Silver
Pau Gasol Sez;M;36;215;253,5316013;Spain;Basketball;Basketball Men's Basketball;Bronze
Justin Alexander Gatlin;M;34;186;176,3698096;United States;Athletics;Athletics Men's 100 metres;Silver
Artemi Gavezou Castro;F;22;169;121,2542441;Spain;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Silver
Yuliya Petrovna Gavrilova;F;27;169;123,4588667;Russia;Fencing;Fencing Women's Sabre, Team;Gold
Fazliddin Khasanbayevich Gaybnazarov;M;25;169;141,0958477;Uzbekistan;Boxing;Boxing Men's Light-Welterweight;Gold
Ruth Marie Christelle Gbagbi;F;22;176;143,3004703;Cote d'Ivoire;Taekwondo;Taekwondo Women's Welterweight;Bronze
Hagos Gebrhiwet Berhe;M;22;171;123,4588667;Ethiopia;Athletics;Athletics Men's 5,000 metres;Bronze
Justin Gilberto Geduld;M;22;175;171,9605644;South Africa;Rugby Sevens;Rugby Sevens Men's Rugby Sevens;Bronze
Aniuar Borisovich Geduyev;M;29;173;163,1420739;Russia;Wrestling;Wrestling Men's Middleweight, Freestyle;Silver
Uwe Gensheimer;M;29;188;194,0067906;Germany;Handball;Handball Men's Handball;Bronze
Paul George;M;26;206;218,2576394;United States;Basketball;Basketball Men's Basketball;Gold
Vincent Grard;M;29;189;220,462262;France;Handball;Handball Men's Handball;Silver
Aleksandra Viktorovna Gerasimenya;F;30;175;132,2773572;Belarus;Swimming;Swimming Women's 50 metres Freestyle;Bronze
Yarden Gerbi;F;27;169;138,8912251;Israel;Judo;Judo Women's Half-Middleweight;Bronze
Komeil Nemat Ghasemi;M;28;186;253,5316013;Iran;Wrestling;Wrestling Men's Super-Heavyweight, Freestyle;Silver
Simona Cristina Gherman (Alexandru-);F;31;170;127,868112;Romania;Fencing;Fencing Women's epee, Team;Gold
Simone Giannelli;M;19;198;202,825281;Italy;Volleyball;Volleyball Men's Volleyball;Silver
"Spyridon ""Spyros"" Gianniotis";M;36;185;171,9605644;Greece;Swimming;Swimming Men's 10 kilometres Open Water;Silver
Laura Gil Collado;F;24;191;171,9605644;Spain;Basketball;Basketball Women's Basketball;Silver
Juan Ignacio Gilardi;M;34;186;200,6206584;Argentina;Hockey;Hockey Men's Hockey;Gold
Kaleigh Gilchrist;F;24;176;169,7559417;United States;Water Polo;Water Polo Women's Water Polo;Gold
Fabien Pierre Aurlien Dominique Gilot;M;32;193;187,3929227;France;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
Matthias Lukas Ginter;M;22;190;194,0067906;Germany;Football;Football Men's Football;Silver
Cameron Girdlestone;M;28;190;202,825281;Australia;Rowing;Rowing Men's Quadruple Sculls;Silver
Niccol Gitto;M;29;190;198,4160358;Italy;Water Polo;Water Polo Men's Water Polo;Bronze
Odette Giuffrida;F;21;160;114,6403762;Italy;Judo;Judo Women's Half-Lightweight;Silver
Shakhram Dzhamshedovich Giyasov;M;23;174;152,1189608;Uzbekistan;Boxing;Boxing Men's Welterweight;Silver
Jasmin Glaesser;F;24;167;127,868112;Canada;Cycling;Cycling Women's Team Pursuit;Bronze
Josip Glasnovi;M;33;178;180,7790548;Croatia;Shooting;Shooting Men's Trap;Gold
Alisha Rebecca Glass;F;28;183;158,7328286;United States;Volleyball;Volleyball Women's Volleyball;Bronze
Laura Glauser;F;22;178;143,3004703;France;Handball;Handball Women's Handball;Silver
Helen Rachel M. Glover;F;30;177;147,7097155;Great Britain;Rowing;Rowing Women's Coxless Pairs;Gold
Nadezhda Sergeyevna Glyzina-Fedotova;F;28;175;149,9143382;Russia;Water Polo;Water Polo Women's Water Polo;Bronze
Serge David Gnabry;M;21;173;163,1420739;Germany;Football;Football Men's Football;Silver
Tessa Gobbo;F;25;185;180,7790548;United States;Rowing;Rowing Women's Coxed Eights;Gold
ivko Goci;M;33;193;205,0299037;Serbia;Water Polo;Water Polo Men's Water Polo;Gold
Lena Goeling;F;30;171;123,4588667;Germany;Football;Football Women's Football;Gold
Goh Liu Ying;F;27;166;123,4588667;Malaysia;Badminton;Badminton Mixed Doubles;Silver
Goh V Shem;M;27;180;154,3235834;Malaysia;Badminton;Badminton Men's Doubles;Silver
Vladislav Olegovich Goncharov;M;20;173;145,5050929;Belarus;Trampolining;Trampolining Men's Individual;Gold
Gong Jinjie;F;29;165;143,3004703;China;Cycling;Cycling Women's Team Sprint;Gold
Gong Xiangyu;F;19;186;158,7328286;China;Volleyball;Volleyball Women's Volleyball;Gold
Joel Gonzlez Bonilla;M;26;185;149,9143382;Spain;Taekwondo;Taekwondo Men's Featherweight;Bronze
Mara Guadalupe Gonzlez Romero;F;27;162;103,6172631;Mexico;Athletics;Athletics Women's 20 kilometres Walk;Silver
Daniel Goodfellow;M;19;167;127,868112;Great Britain;Diving;Diving Men's Synchronized Platform;Bronze
Chrisann Gordon;F;21;168;143,3004703;Jamaica;Athletics;Athletics Women's 4 x 400 metres Relay;Silver
Leon Goretzka;M;21;189;174,165187;Germany;Football;Football Men's Football;Silver
Karina Khavazhevna Goricheva;F;23;160;138,8912251;Kazakhstan;Weightlifting;Weightlifting Women's Middleweight;Bronze
Giulia Gorlero;F;25;180;160,9374513;Italy;Water Polo;Water Polo Women's Water Polo;Silver
Kennedy Goss;F;19;173;163,1420739;Canada;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
Sarah Goss;F;23;176;160,9374513;New Zealand;Rugby Sevens;Rugby Sevens Women's Rugby Sevens;Silver
"Matthew Anthony W. ""Matt"" Gotrel";M;27;195;209,4391489;Great Britain;Rowing;Rowing Men's Coxed Eights;Gold
Simon Gougnard;M;25;187;185,1883001;Belgium;Hockey;Hockey Men's Hockey;Silver
Martine Soffiatti Grael;F;25;168;136,6866024;Brazil;Sailing;Sailing Women's Skiff;Gold
Katherine Jane Grainger;F;40;183;171,9605644;Great Britain;Rowing;Rowing Women's Double Sculls;Silver
Mats Grambusch;M;23;177;163,1420739;Germany;Hockey;Hockey Men's Hockey;Bronze
Tom Grambusch;M;20;185;187,3929227;Germany;Hockey;Hockey Men's Hockey;Bronze
Laura Graves;F;29;173;121,2542441;United States;Equestrianism;Equestrianism Mixed Dressage, Team;Bronze
Mathieu Grbille;M;24;198;220,462262;France;Handball;Handball Men's Handball;Silver
Draymond Jamal Green;M;26;200;229,2807525;United States;Basketball;Basketball Men's Basketball;Gold
Ellia Green;F;23;172;165,3466965;Australia;Rugby Sevens;Rugby Sevens Women's Rugby Sevens;Gold
"Alexander John ""Alex"" Gregory";M;32;198;213,8483941;Great Britain;Rowing;Rowing Men's Coxless Fours;Gold
"Catherine Rose ""Katie"" Greves (-Solesbury)";F;33;179;156,528206;Great Britain;Rowing;Rowing Women's Coxed Eights;Silver
Sam Griffiths;M;44;171;160,9374513;Australia;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Bronze
Kirill Akopovich Grigoryan;M;24;179;194,0067906;Russia;Shooting;Shooting Men's Small-Bore Rifle, Prone, 50 metres;Bronze
Kari Aalvik Grimsb;F;31;180;176,3698096;Norway;Handball;Handball Women's Handball;Bronze
Brittney Yevette Griner;F;25;203;207,2345263;United States;Basketball;Basketball Women's Basketball;Gold
Anna Sergeyevna Grinyova;F;28;185;191,8021679;Russia;Water Polo;Water Polo Women's Water Polo;Bronze
Mindaugas Grikonis;M;30;190;202,825281;Lithuania;Rowing;Rowing Men's Double Sculls;Silver
Marcus Gro;M;26;182;187,3929227;Germany;Canoeing;Canoeing Men's Kayak Doubles, 1,000 metres;Gold
Marcus Gro;M;26;182;187,3929227;Germany;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Gold
Madeline Groves;F;21;179;145,5050929;Australia;Swimming;Swimming Women's 200 metres Butterfly;Silver
Madeline Groves;F;21;179;145,5050929;Australia;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Hans Gruhne;M;27;193;202,825281;Germany;Rowing;Rowing Men's Quadruple Sculls;Gold
Gauthier Grumier;M;32;188;182,9836775;France;Fencing;Fencing Men's epee, Individual;Bronze
Gauthier Grumier;M;32;188;182,9836775;France;Fencing;Fencing Men's epee, Team;Gold
Gu Xiao;F;23;174;132,2773572;China;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Evandro Motta Guerra;M;34;207;233,6899977;Brazil;Volleyball;Volleyball Men's Volleyball;Gold
Michal Yves Robert Guigou;M;34;179;174,165187;France;Handball;Handball Men's Handball;Silver
Guo Li;F;23;167;119,0496215;China;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
James George Guy;M;20;187;182,9836775;Great Britain;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
James George Guy;M;20;187;182,9836775;Great Britain;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Silver
Gwak Dong-Han;M;24;183;198,4160358;South Korea;Judo;Judo Men's Middleweight;Bronze
Mario-Elio Gyr;M;31;187;167,5513191;Switzerland;Rowing;Rowing Men's Lightweight Coxless Fours;Gold
Francis Townley Haas;M;19;196;185,1883001;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Kai Hfner;M;27;192;209,4391489;Germany;Handball;Handball Men's Handball;Bronze
Ryunosuke Haga;M;25;186;220,462262;Japan;Judo;Judo Men's Half-Heavyweight;Bronze
Kosuke Hagino;M;21;177;156,528206;Japan;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Bronze
Kosuke Hagino;M;21;177;156,528206;Japan;Swimming;Swimming Men's 200 metres Individual Medley;Silver
Kosuke Hagino;M;21;177;156,528206;Japan;Swimming;Swimming Men's 400 metres Individual Medley;Gold
Lisa Hahn-Altenburg;F;26;155;127,868112;Germany;Hockey;Hockey Women's Hockey;Bronze
Aika Hakoyama;F;25;176;143,3004703;Japan;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Arman Hall;M;22;183;165,3466965;United States;Athletics;Athletics Men's 4 x 400 metres Relay;Gold
Fabian Hambchen;M;28;164;136,6866024;Germany;Gymnastics;Gymnastics Men's Horizontal Bar;Gold
Pauline Louisa Hammarlund;F;22;172;143,3004703;Sweden;Football;Football Women's Football;Silver
Sarah Kathryn Hammer (-Sparks);F;32;171;143,3004703;United States;Cycling;Cycling Women's Team Pursuit;Silver
Sarah Kathryn Hammer (-Sparks);F;32;171;143,3004703;United States;Cycling;Cycling Women's Omnium;Silver
Ying Han;F;33;170;132,2773572;Germany;Table Tennis;Table Tennis Women's Team;Silver
Takuya Haneda;M;29;175;154,3235834;Japan;Canoeing;Canoeing Men's Canadian Singles, Slalom;Bronze
Martin Hner;M;27;184;182,9836775;Germany;Hockey;Hockey Men's Hockey;Bronze
Tawin Hanprab;M;18;176;127,868112;Thailand;Taekwondo;Taekwondo Men's Flyweight;Silver
Henrik Toft Hansen;M;29;200;231,4853751;Denmark;Handball;Handball Men's Handball;Gold
Jena Mai Hansen;F;27;166;132,2773572;Denmark;Sailing;Sailing Women's Skiff;Bronze
Lasse Norman Hansen;M;24;180;160,9374513;Denmark;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Bronze
Lasse Norman Hansen;M;24;180;160,9374513;Denmark;Cycling;Cycling Men's Omnium;Bronze
Mikkel Hansen;M;28;196;216,0530168;Denmark;Handball;Handball Men's Handball;Gold
Ren Toft Hansen;M;31;200;231,4853751;Denmark;Handball;Handball Men's Handball;Gold
Hao Jialu;F;28;176;145,5050929;China;Fencing;Fencing Women's epee, Team;Silver
Hisayoshi Harasawa;M;24;191;275,5778275;Japan;Judo;Judo Men's Heavyweight;Silver
Christa Deanne Harmotto-Dietzen;F;29;188;174,165187;United States;Volleyball;Volleyball Women's Volleyball;Bronze
Kayla Harrison;F;26;173;163,1420739;United States;Judo;Judo Women's Half-Heavyweight;Gold
Christoph Harting;M;26;207;264,5547144;Germany;Athletics;Athletics Men's Discus Throw;Gold
Artem Harutyunyan;M;25;172;141,0958477;Germany;Boxing;Boxing Men's Light-Welterweight;Bronze
Natasha Monique Hastings;F;30;173;149,9143382;United States;Athletics;Athletics Women's 4 x 400 metres Relay;Gold
Franzisca Hauke;F;26;172;138,8912251;Germany;Hockey;Hockey Women's Hockey;Bronze
Tobias Constantin Hauke;M;28;183;178,5744322;Germany;Hockey;Hockey Men's Hockey;Bronze
Patrick Hausding;M;27;180;169,7559417;Germany;Diving;Diving Men's Springboard;Bronze
Daniel Havel;M;24;178;174,165187;Czech Republic;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Bronze
Akeem Haynes;M;24;170;160,9374513;Canada;Athletics;Athletics Men's 4 x 100 metres Relay;Bronze
He Zi;F;25;159;112,4357536;China;Diving;Diving Women's Springboard;Silver
Maaike Christiane Head;F;32;173;130,0727346;Netherlands;Rowing;Rowing Women's Lightweight Double Sculls;Gold
Liam Nicholas Heath;M;31;182;178,5744322;Great Britain;Canoeing;Canoeing Men's Kayak Singles, 200 metres;Gold
Liam Nicholas Heath;M;31;182;178,5744322;Great Britain;Canoeing;Canoeing Men's Kayak Doubles, 200 metres;Silver
Erik Heil;M;26;185;176,3698096;Germany;Sailing;Sailing Men's Skiff;Bronze
Silvio Heinevetter;M;31;194;218,2576394;Germany;Handball;Handball Men's Handball;Bronze
Ryan Held;M;21;;;United States;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
"Jeffrey ""Jeff"" Henderson";M;27;183;189,5975453;United States;Athletics;Athletics Men's Long Jump;Gold
Kaj Hendriks;M;28;197;209,4391489;Netherlands;Rowing;Rowing Men's Coxed Eights;Bronze
Josephine Henning;F;26;175;149,9143382;Germany;Football;Football Women's Football;Gold
Desiree Latifah N. Henry;F;20;171;141,0958477;Great Britain;Athletics;Athletics Women's 4 x 100 metres Relay;Bronze
Michael David Hepburn;M;24;186;169,7559417;Australia;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Silver
Sabrina Hering;F;24;167;154,3235834;Germany;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Silver
Ismael Marcelo Hernndez Uscanga;M;26;178;141,0958477;Mexico;Modern Pentathlon;Modern Pentathlon Men's Individual;Bronze
"Lauren Zoe ""Laurie"" Hernandez";F;16;152;108,0265084;United States;Gymnastics;Gymnastics Women's Team All-Around;Gold
"Lauren Zoe ""Laurie"" Hernandez";F;16;152;108,0265084;United States;Gymnastics;Gymnastics Women's Balance Beam;Silver
Nico Miguel Hernandez;M;20;165;108,0265084;United States;Boxing;Boxing Men's Light-Flyweight;Bronze
Stefany del Carmen Hernndez Mendoza;F;25;165;143,3004703;Venezuela;Cycling;Cycling Women's BMX;Bronze
"Guillermo Gustavo ""Willy"" Hernangmez Geuer";M;22;210;253,5316013;Spain;Basketball;Basketball Men's Basketball;Bronze
Camilla Herrem;F;29;167;125,6634893;Norway;Handball;Handball Women's Handball;Bronze
Timm Herzbruch;M;19;180;167,5513191;Germany;Hockey;Hockey Men's Hockey;Bronze
Carl Rupert Hester;M;49;182;189,5975453;Great Britain;Equestrianism;Equestrianism Mixed Dressage, Team;Silver
Rei Higuchi;M;20;163;138,8912251;Japan;Wrestling;Wrestling Men's Featherweight, Freestyle;Silver
"Alexander ""Alex"" Hill";M;23;194;202,825281;Australia;Rowing;Rowing Men's Coxless Fours;Silver
"Kimberly ""Kim"" Hill";F;26;193;158,7328286;United States;Volleyball;Volleyball Women's Volleyball;Bronze
Phelan Peter Hill;M;37;172;121,2542441;Great Britain;Rowing;Rowing Men's Coxed Eights;Gold
"Samantha ""Sami"" Hill";F;24;183;196,2114132;United States;Water Polo;Water Polo Women's Water Polo;Gold
"Madeline Clare ""Maddie"" Hinch";F;27;168;136,6866024;Great Britain;Hockey;Hockey Women's Hockey;Gold
Philip Hindes;M;23;178;180,7790548;Great Britain;Cycling;Cycling Men's Team Sprint;Gold
Martina Hingis (-Hutin);F;35;170;130,0727346;Switzerland;Tennis;Tennis Women's Doubles;Silver
Sophie Hitchon;F;25;170;165,3466965;Great Britain;Athletics;Athletics Women's Hammer Throw;Bronze
"Michael ""Mike"" Hixon";M;22;173;149,9143382;United States;Diving;Diving Men's Synchronized Springboard;Silver
Hong Xun Vinh;M;41;175;165,3466965;Vietnam;Shooting;Shooting Men's Air Pistol, 10 metres;Gold
Hong Xun Vinh;M;41;175;165,3466965;Vietnam;Shooting;Shooting Men's Free Pistol, 50 metres;Silver
Max Hoff;M;33;197;209,4391489;Germany;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Gold
"Victoria Frances ""Vicky"" Holland";F;30;168;123,4588667;Great Britain;Triathlon;Triathlon Women's Olympic Distance;Bronze
"Maxwell Philip ""Max"" Holt";M;29;208;198,4160358;United States;Volleyball;Volleyball Men's Volleyball;Bronze
Daryl Homer;M;26;173;163,1420739;United States;Fencing;Fencing Men's Sabre, Individual;Silver
Ellen Marijn Hoog;F;30;164;119,0496215;Netherlands;Hockey;Hockey Women's Hockey;Silver
Tamara Horacek;F;20;179;176,3698096;France;Handball;Handball Women's Handball;Silver
Timo Horn;M;23;191;167,5513191;Germany;Football;Football Men's Football;Silver
"Mackenzie ""Mack"" Horton";M;20;190;194,0067906;Australia;Swimming;Swimming Men's 400 metres Freestyle;Gold
Natsumi Hoshi;F;25;164;123,4588667;Japan;Swimming;Swimming Women's 200 metres Butterfly;Bronze
